Time (s),Channel 1 (V),Channel 2 (V)
-0.005119910714285715,-0.3424586307287884,-0.30058822964185994
-0.0051186607142857145,-0.34044979089725724,-0.2979006910589853
-0.005117410714285714,-0.33777133778854773,-0.29554909479896824
-0.005116160714285715,-0.3350928846798407,-0.29151778692465813
-0.005114910714285714,-0.33007078510101273,-0.28815836369606485
-0.005113660714285715,-0.32940117182383566,-0.28715053672748686
-0.005112410714285714,-0.32504868552218474,-0.283119228853175
-0.005111160714285715,-0.32303984569065447,-0.28043169027030157
-0.005109910714285714,-0.31835255275041413,-0.27572849775026975
-0.005108660714285714,-0.3160089062802933,-0.2737128438131127
-0.0051074107142857145,-0.3136652598101747,-0.2713612475530985
-0.005106160714285714,-0.3103171934242879,-0.2676658820016444
-0.005104910714285715,-0.30696912703840407,-0.26430645877305264
-0.005103660714285714,-0.3036210606525187,-0.2612829778673187
-0.005102410714285715,-0.30060780090522193,-0.25825949696158473
-0.005101160714285714,-0.29859896107369077,-0.2559079007015695
-0.005099910714285715,-0.29357686149486506,-0.25120470818154106
-0.005098660714285714,-0.29123321502474303,-0.2488531119215236
-0.005097410714285714,-0.2878851486388565,-0.24616557333864778
-0.0050961607142857145,-0.2852066955301495,-0.24347803475577437
-0.005094910714285714,-0.2811890158670859,-0.2391107845586019
-0.005093660714285715,-0.2785105627583788,-0.2364232459757285
-0.005092410714285714,-0.27650172292684766,-0.2350794766842912
-0.005091160714285715,-0.2718144299866103,-0.2297043995185444
-0.005089910714285714,-0.26880117023931144,-0.22701686093566736
-0.005088660714285715,-0.26545310385342763,-0.2236574377070756
-0.0050874107142857145,-0.2607658109131867,-0.22029801447848082
-0.005086160714285714,-0.25775255116588836,-0.21626670660416705
-0.0050849107142857146,-0.25440448478000455,-0.21223539872985697
-0.005083660714285714,-0.25206083830988485,-0.21055568711556033
-0.005082410714285715,-0.2487127719239995,-0.20686032156410775
-0.005081160714285714,-0.24502989889952564,-0.2038368406583738
-0.005079910714285715,-0.2420166391522302,-0.20081335975264125
-0.005078660714285714,-0.23866857276634354,-0.19611016723260927
-0.005077410714285715,-0.2329768599103411,-0.19241480168115838
-0.0050761607142857145,-0.23130282671739583,-0.19073509006686004
-0.005074910714285714,-0.22661553377715488,-0.18703972451540546
-0.005073660714285715,-0.22326746739127107,-0.1826724743182362
-0.005072410714285714,-0.22092382092115134,-0.1799849357353616
-0.005071160714285715,-0.2172409478966775,-0.17561768553819032
-0.005069910714285714,-0.21355807487220366,-0.17225826230959707
-0.005068660714285715,-0.20987520184773148,-0.1692347814038645
-0.005067410714285714,-0.20652713546184448,-0.16553941585241053
-0.005066160714285714,-0.2018398425216037,-0.16217999262381602
-0.0050649107142857145,-0.19882658277430826,-0.15949245404094264
-0.005063660714285714,-0.19648293630418656,-0.1568049154580657
-0.005062410714285715,-0.19213045000253762,-0.15176578061517812
-0.005061160714285714,-0.18811277033947524,-0.1487422997094442
-0.005059910714285715,-0.1844298973150014,-0.14504693415799158
-0.005058660714285714,-0.18007741101335048,-0.14067968396082034
-0.005057410714285715,-0.17706415126605504,-0.13698431840936942
-0.005056160714285714,-0.17371608488016838,-0.13496866447221179
-0.005054910714285714,-0.16936359857851563,-0.13127329892075687
-0.0050536607142857145,-0.16534591891545508,-0.12623416407786928
-0.005052410714285714,-0.1630022724453337,-0.12354662549499343
-0.005051160714285715,-0.1593193994208615,-0.12085908691212002
-0.005049910714285714,-0.15429729984203353,-0.1154840097463708
-0.005048660714285715,-0.15128404009473811,-0.1127964711634974
-0.005047410714285714,-0.1476011670702629,-0.10943704793490291
-0.005046160714285715,-0.14492271396155587,-0.10540574006059282
-0.0050449107142857144,-0.13990061438272666,-0.10137443218627906
-0.005043660714285714,-0.136217741358251,-0.09801500895768427
-0.0050424107142857146,-0.13220006169519044,-0.09465558572909252
-0.005041160714285714,-0.1285171886707166,-0.09062427785478061
-0.005039910714285715,-0.12416470236906568,-0.08625702765760936
-0.005038660714285714,-0.12048182934459184,-0.08356948907473474
-0.005037410714285715,-0.11746856959729643,-0.08088195049186135
-0.005036160714285714,-0.1137856965728212,-0.07651470029468888
-0.005034910714285715,-0.11010282354834904,-0.07349121938895631
-0.0050336607142857145,-0.10575033724669644,-0.06912396919178368
-0.005032410714285714,-0.10240227086080883,-0.06542860364032956
-0.005031160714285715,-0.09738017128198315,-0.06206918041173781
-0.005029910714285714,-0.09302768498033223,-0.057365987891707236
-0.005028660714285715,-0.09001442523303545,-0.054342506985973295
-0.005027410714285714,-0.0863315522085616,-0.0506471414345207
-0.005026160714285715,-0.0813094526297359,-0.04594394891449226
-0.005024910714285714,-0.0789658061596139,-0.04292046800875618
-0.005023660714285714,-0.07461331985796116,-0.0398969871030201
-0.0050224107142857145,-0.07059564019490061,-0.03519379458299166
-0.005021160714285714,-0.06691276717042446,-0.03183437135439702
-0.005019910714285715,-0.06189066759159878,-0.02881089044866445
-0.005018660714285714,-0.059212214482890525,-0.024107697928633876
-0.005017410714285715,-0.05485972818123962,-0.020748274700040606
-0.005016160714285714,-0.05084204851817723,-0.01671696682572868
-0.005014910714285715,-0.0464895622165283,-0.01335754359713694
-0.005013660714285714,-0.04347630246922953,-0.009998120368542142
-0.005012410714285714,-0.039793429444753704,-0.005630870171369516
-0.0050111607142857145,-0.035440943143104774,-0.002607389265636949
-0.005009910714285714,-0.030753650202863952,0.002095803254395156
-0.005008660714285715,-0.027740390455568538,0.0054552264829868975
-0.005007410714285714,-0.024727130708271754,0.008142765065861512
-0.005006160714285715,-0.019035417852266714,0.012174072940173437
-0.005004910714285714,-0.015352544827792865,0.016877265460204016
-0.005003660714285715,-0.01066525188755555,0.020908573334514104
-0.0050024107142857144,-0.007651992140256633,0.024267996563109205
-0.005001160714285714,-0.004973539031546248,0.026955535145985657
-0.0049999107142857145,-0.0002862460913089348,0.030986843020295744
-0.004998660714285714,0.003731433571753446,0.03501815089460767
-0.004997410714285715,0.008753533150581423,0.03904945876891959
-0.004996160714285714,0.01176679289787821,0.04240888199751286
-0.004994910714285715,0.014780052645173625,0.04610424754896378
