Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
20.00000000000002,0.03310360778072675,-65.84915260483476,-92.71125547143529
20.94257096101801,0.03304810355129995,-65.32435631505722,-90.58476786633094
21.92956392286372,0.03322101404281015,-65.02811227435629,-93.44336400426661
22.96307242993768,0.03311934091833961,-64.49475795130243,-91.35023131313324
24.04528869234826,0.0330223478066369,-64.12575688692006,-91.42520188145585
25.17850823588337,0.03325539885152724,-63.70510076424939,-92.60055302873059
26.36513477112818,0.03335780287341422,-63.47361249535668,-91.29026741453698
27.60768529205771,0.03279828195390409,-62.78424179273473,-90.53566623175715
28.90879541491859,0.0327542701462919,-62.43341936420063,-91.87042191109759
30.2712249687242,0.03301226217785073,-62.08495216302529,-91.97202264337842
31.69786384922228,0.03303246860190198,-61.82404747118211,-91.14800200569844
33.19173814875126,0.03290044849901383,-61.5838836681334,-91.43709552681136
34.75601657498753,0.03283882358952257,-61.09563961915782,-89.95552457464605
36.39401717219969,0.03316500447342927,-60.61840204697531,-90.87736355212159
38.109214359265,0.03270899411904184,-60.198485552434,-91.43726941078047
39.90524629937762,0.03311699687491547,-59.6497265560634,-90.56165480353026
41.78592261708081,0.03298705420754917,-59.75907289339941,-95.65765810835146
43.75523247899108,0.03318477189572525,-61.66037649647487,-92.4441939692983
45.81735305535549,0.03314952931525972,-63.23773484137004,-105.3437235079385
47.97665838038985,0.03295375604694688,-58.8443036373716,-120.4183380717378
50.23772863019164,0.03331221450955502,-54.39613125220938,-88.56289538841935
52.60535983790768,0.03312240383919044,-61.69242249933106,-108.2385025509176
55.08457406676338,0.0332525859701796,-58.85127382644832,-69.45669185896304
57.68063006253217,0.03325747900200356,-58.73587408744451,-83.40981974549194
60.39903440804039,0.03310930448403403,-55.79368351225025,-96.6521070293052
63.24555320336765,0.03346196123837428,-56.08304458882753,-91.51020771297301
66.22622429651828,0.03308321856721739,-55.49511599723345,-91.37989487587821
69.34737009050633,0.03288246621014215,-55.00903852531303,-90.76183014395218
72.61561095402035,0.0332527054900657,-54.63683037608576,-90.6399564362198
76.03787926411233,0.03318004700268354,-54.23066327906368,-90.31509185044479
79.62143411069947,0.03303536751222876,-53.85126933695482,-90.56008302501104
83.37387669406719,0.03302381668906931,-53.41584692965525,-90.68884023113468
87.30316644803331,0.033356550172486,-53.11223231805247,-90.7742143974413
91.41763792297505,0.0329522529742366,-52.65639485651386,-91.83529457711563
95.7260184645278,0.03281889978023517,-51.99173567644574,-90.51757507318888
100.2374467254546,0.03296395943910761,-52.00077484365735,-89.64243993238888
104.9614920499546,0.03283965711518619,-51.2669026883708,-91.05875779702151
109.9081747715251,0.03322113275730222,-51.10688525067164,-91.54974884738226
115.0879874674316,0.03269604885696095,-50.73407881192097,-90.67929688868897
120.5119172148716,0.03293547863583433,-50.24692358441648,-91.04919771697763
126.1914688960387,0.03298632569323809,-49.80078530709921,-90.74705128169857
132.1386896015193,0.03263938519865774,-49.28838163495917,-90.58717490525623
138.3661941837874,0.03300166755329455,-48.95155920026239,-89.51509562880723
144.8871920149981,0.03300782539914504,-48.75729888205912,-89.55777109444352
151.7155150058369,0.03284414125187229,-48.44717790404871,-91.19748141491004
158.8656469448564,0.032986915985639,-47.71209294285061,-91.06434028775823
166.3527542205344,0.03287266565040019,-47.66548182482639,-90.61193114267985
174.1927179912163,0.03303773031122666,-47.04732220548564,-90.17447347213442
182.4021678711821,0.03311061913254904,-46.64168736551292,-90.58969979653858
190.9985172042874,0.03303763459813322,-46.28769005914286,-90.89486367986268
200,0.03286339818758843,-45.85294365143764,-90.29346103134823
209.4257096101801,0.03281275364974874,-45.46501246049743,-90.73181417049638
219.2956392286371,0.0327224139262162,-45.13632553943491,-91.01524484884141
229.6307242993766,0.03282051894894521,-44.66670233598003,-90.18631831041307
240.4528869234827,0.03280217112936096,-44.29882728673014,-91.31337206167517
