Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1000,-0.1941434831757527,-65.75744643882646,-176.8059039860246
1326.666666666667,-0.1911941629801551,-60.38940690113768,-179.2264416552529
1653.333333333333,-0.18697466956415,-55.91018972385697,176.0109005213306
1980,-0.1835960783987459,-52.12974213393465,174.3681901887527
2306.666666666667,-0.1785665226093957,-48.50781060478787,171.5825836659499
2633.333333333333,-0.1728834508162899,-45.11628480573241,169.1358573468523
2960,-0.1684650140963077,-41.68421645497365,166.2792452443232
3286.666666666667,-0.1618707853535166,-38.08886615618839,163.0056979728495
3613.333333333333,-0.155813945206051,-34.0065405494212,158.4711847668856
3940,-0.1496393007130957,-29.08922285273329,151.3573479231799
4266.666666666666,-0.1446395155242607,-23.00415562314008,138.0905808708254
4593.333333333334,-0.1410276875728133,-14.38365205152979,104.1300093426187
4920,-0.1518240042838115,-7.010208825687362,0.8294187272662015
5246.666666666667,-0.1409253504964098,-9.592878812528337,-67.28794624217736
5573.333333333333,-0.1327774131636944,-14.028751112397,-104.7613827784595
5900,-0.1212388806196808,-18.69064940946278,-126.4704033132728
6226.666666666667,-0.1062178345490255,-22.82942796336,-139.5232584962756
6553.333333333333,-0.09560981561727953,-26.26958862004557,-147.9752356387651
6880,-0.08899428880992163,-29.13135768227613,-153.8727665425222
7206.666666666667,-0.09044708263397913,-31.49191493987329,-157.8164811862103
7533.333333333333,-0.07184443587639548,-33.41188641543211,-160.3904635512916
7860,-0.06220249040357748,-34.95692020208351,-162.013595633733
8186.666666666667,-0.05493200977604074,-36.61683483830728,-163.9372697913521
8513.333333333332,-0.04638419457225937,-38.14665802308884,-165.5275208266715
8840,-0.04013812392640804,-39.50782396100185,-166.858586626179
9166.666666666668,-0.04289535099717704,-40.76463294984692,-167.6537745671089
9493.333333333334,-0.02334960165455028,-41.89865290958269,-168.567853417871
9820,-0.01317693132212358,-42.96530411556034,-169.749949663148
10146.66666666667,-0.009256092987068386,-44.01322774211208,-170.7105783322293
10473.33333333333,0.002195515731908456,-44.96100798632904,-171.2729298820373
10800,0.009972770327417299,-45.83243757305966,-171.7054258757822
11126.66666666667,0.004401053478471302,-46.67340117050679,-172.1240210627372
11453.33333333333,0.01187350424380821,-47.41723040214404,-172.318085805774
11780,0.004512124159021313,-48.12956684293869,-173.3565010787788
12106.66666666667,0.01178281921807263,-48.90031014931769,-173.7240977832116
12433.33333333333,0.01094896474499925,-49.70645756203279,-174.5756459874657
12760,0.01134547072756862,-50.29603953178465,-174.2846802914303
13086.66666666667,0.0107386039321092,-50.96651891700797,-175.980770729958
13413.33333333333,-0.003725430018663733,-51.43136999415965,-175.7377847077649
13740,0.008680256021845861,-52.10661848689074,-177.6570039325496
14066.66666666667,0.008367085700327572,-52.76214390749298,-176.8428453519602
14393.33333333333,-0.006155664014261587,-53.22997745044865,-176.7296517316782
14720,0.006951752160739136,-53.79558546921854,-178.1915667782146
15046.66666666667,0.007078511085611659,-54.36570084002631,-178.0345884952613
15373.33333333333,0.003394963389252992,-54.9945576915474,-178.771120913929
15700,0.00620665903017954,-55.26480217585536,-177.8576374078489
16026.66666666667,0.004740254593261376,-55.77637844025703,-177.1834680808356
16353.33333333333,0.003918537172867262,-56.33101795298062,179.8461778676155
16680,2.112734691007284e-05,-57.20284222781495,178.9590868511379
17006.66666666666,0.003500317936976585,-57.3538470207591,-179.2544794218538
17333.33333333334,0.002041267510047759,-58.04890969709809,178.2573965934135
17660,-0.001683794606642168,-58.06574103603089,176.8688282872823
17986.66666666667,0.002274239231374854,-58.96108030787034,179.797060816588
18313.33333333333,-0.01447278021489752,-59.52647718945518,179.2337112200413
18640,-0.0006150814448030796,-59.17661137911998,176.2588641442051
18966.66666666667,-0.0009924827387652404,-59.83225550700976,176.8019016153109
19293.33333333333,-0.003682849225416742,-60.296548860024,175.3945275862819
19620,-0.0005826252473824644,-60.48286902062029,174.8788414777434
19946.66666666667,-0.003891982084513019,-60.65911719063852,171.6122744846481
20273.33333333333,-0.007825900149468235,-61.6319761015545,173.8873303476179
20600,-0.003563966844016408,-61.96062081205707,170.8654802765743
20926.66666666667,-0.004546831478066809,-62.15154816730664,175.1397972516488
21253.33333333333,-0.01024361016733643,-62.2596789495061,168.6005354933041
21580,-0.007156028512153122,-63.82711916525317,176.6887565429029
21906.66666666667,-0.006830058887312628,-62.588847880279,168.8815541537967
22233.33333333333,-0.01078791290425884,-63.4193316740845,166.5271527275027
22560,-0.009029915605245386,-63.13796498034938,175.7225620218202
22886.66666666667,-0.007557338769106928,-63.95314514561797,172.3322222147982
