Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1000,-0.1928275161704765,-29.93868467595131,87.50453499839661
1326.666666666667,-0.1896442985278293,-27.2551403233291,86.77364902558897
1653.333333333333,-0.1855931309563627,-25.01318953651716,86.02318827745427
1980,-0.1812480519724066,-23.03469625557203,85.12672176676902
2306.666666666667,-0.1764685862296745,-21.18906273022743,84.05826204491835
2633.333333333333,-0.1705004818710813,-19.39336231578963,82.75517373117755
2960,-0.1659299875526876,-17.57701644610025,81.10326061990484
3286.666666666667,-0.1594952893211235,-15.67049327979482,78.90090994595573
3613.333333333333,-0.1535295708254179,-13.58570904578876,75.78052207060114
3940,-0.1474594465381257,-11.17970227396666,70.91486231348591
4266.666666666666,-0.1423978411663661,-8.220533117489348,62.04140590621883
4593.333333333334,-0.1404912659960823,-4.552208419990792,41.8049954800708
4920,-0.1514409834004448,-2.330754379971172,4.424524963588894
5246.666666666667,-0.1393868853843309,-3.136608869752435,-26.17587221000856
5573.333333333333,-0.1310792623209326,-4.951557725958057,-44.93390110429299
5900,-0.1204130537472524,-6.863607545465507,-56.38236573449355
6226.666666666667,-0.1046810321882572,-8.610892424950702,-63.6265982753745
6553.333333333333,-0.09460147669296104,-10.13821614212444,-68.43765155715717
6880,-0.08754543096982766,-11.46147365030858,-71.80270942048652
7206.666666666667,-0.08984403367590674,-12.61423688359045,-74.25269160607047
7533.333333333333,-0.07056132180378757,-13.62745862263897,-76.10605657788406
7860,-0.0623982673997087,-14.52493796156176,-77.55177516148206
8186.666666666667,-0.05442313287553346,-15.33302693740633,-78.7045206091734
8513.333333333332,-0.04664017817513091,-16.06033664482273,-79.65286849688592
8840,-0.03967061177075856,-16.72267242783958,-80.43730855160889
9166.666666666668,-0.04328844018852807,-17.33189161160785,-81.1168561263996
9493.333333333334,-0.02321812800602672,-17.89860013881641,-81.68432576906019
9820,-0.01359775865861222,-18.42222509158335,-82.1742440420991
10146.66666666667,-0.009212376949706585,-18.91019843382955,-82.60630184845783
10473.33333333333,0.001364141749836706,-19.37144222138794,-83.01147543503103
10800,0.0101339192620016,-19.80041792546827,-83.35249682781938
11126.66666666667,0.004562291383361229,-20.20661536419379,-83.65718016560028
11453.33333333333,0.01131236262076744,-20.59037486742021,-83.92207845712139
11780,0.006839796256791876,-20.96537759695816,-84.16263608875568
12106.66666666667,0.01134910880263983,-21.31883676249921,-84.40130032479203
12433.33333333333,0.01215707032836926,-21.65560581576733,-84.60766855973748
12760,0.01154479334800236,-21.97347109155638,-84.78842330662491
13086.66666666667,0.01144169993025517,-22.28657289198745,-84.97723781806093
13413.33333333333,-0.002379279392271228,-22.5758044472224,-85.14375236192177
13740,0.009876819401754229,-22.8645247265546,-85.27815189017298
14066.66666666667,0.01051548137395495,-23.14387542612759,-85.42470610746528
14393.33333333333,-0.004890844685505345,-23.40335399599332,-85.56034561701776
14720,0.008972086486132831,-23.67041870142118,-85.59237681838381
15046.66666666667,0.008353525347316057,-23.91471752251396,-85.79334237153472
15373.33333333333,0.005241741967940977,-24.15985795031839,-85.86848751732133
15700,0.007333432304998336,-24.39206048049734,-85.94248932670305
16026.66666666667,0.006922098376588161,-24.61770123786876,-86.09134731697259
16353.33333333333,0.006321248420745017,-24.84161898276599,-86.1784357059953
16680,0.0004733608299683006,-25.058570884068,-86.29780317796383
17006.66666666666,0.004376025839598362,-25.26812804299117,-86.35326714292323
17333.33333333334,0.003799529440255828,-25.48019198558363,-86.3809273041295
17660,0.0003246475466651215,-25.67970679460565,-86.42382647985136
17986.66666666667,0.001240154623162707,-25.87848861577455,-86.54593440434797
18313.33333333333,-0.01447417141619899,-26.06720322936011,-86.56855477984365
18640,7.72157137983699e-05,-26.25978955594467,-86.62741631455089
18966.66666666667,-0.001276535546183193,-26.45237105715398,-86.74130145209999
