Time (s),Channel 1 (V),Channel 2 (V)
-0.005118952702702703,-1.0890774347812142,-0.9116673149229757
-0.0051177027027027025,-1.080707268816501,-0.9039406414972111
-0.005116452702702702,-1.0696586497430753,-0.8941983141342865
-0.005115202702702703,-1.0609536771397776,-0.8851278714170888
-0.005113952702702702,-1.0522487045364757,-0.8774011979913243
-0.005112702702702703,-1.0418696987402312,-0.8679948129512631
-0.005111452702702702,-1.0331647261369294,-0.8592603125569207
-0.005110202702702703,-1.023120526979278,-0.8508617544854412
-0.005108952702702702,-1.0130763278216175,-0.8427991387368137
-0.005107702702702702,-1.002362515386781,-0.8327208690510305
-0.0051064527027027025,-0.9943271560606597,-0.8253301379481286
-0.005105202702702702,-0.9842829569029985,-0.8159237529080626
-0.005103952702702703,-0.9728995311909937,-0.805173598576569
-0.005102702702702702,-0.9631901386719263,-0.7971109828279451
-0.005101452702702703,-0.9541503594300359,-0.7880405401107433
-0.005100202702702702,-0.9444409669109685,-0.7796419820392602
-0.005098952702702703,-0.9327227345603751,-0.7698996546763441
-0.005097702702702702,-0.9236829553184795,-0.7608292119591379
-0.005096452702702702,-0.9122995296064642,-0.7504149999504943
-0.0050952027027027025,-0.9009161038944593,-0.7406726725875783
-0.005093952702702702,-0.8928807445683291,-0.7319381721932309
-0.005092702702702703,-0.8808277055791475,-0.7211880178617373
-0.005091452702702702,-0.8701138931443144,-0.7117816328216762
-0.005090202702702703,-0.8614089205410166,-0.703719017073056
-0.005088952702702702,-0.8506951081061795,-0.6939766897101318
-0.005087702702702703,-0.8396464890327631,-0.6842343623472158
-0.0050864527027027024,-0.828263063320748,-0.6738201503385722
-0.005085202702702702,-0.8175492508859097,-0.66273405368421
-0.0050839527027027025,-0.8061658251739049,-0.6533276686441533
-0.005082702702702702,-0.7957868193776604,-0.6432493989583734
-0.005081452702702703,-0.7854078135814159,-0.6341789562411716
-0.005080202702702702,-0.7736895812308173,-0.6234288019096731
-0.005078952702702703,-0.7626409621574007,-0.6140224168696163
-0.005077702702702702,-0.7532663762769168,-0.6049519741524102
-0.005076452702702703,-0.74020891737197,-0.5931939928523391
-0.0050752027027027025,-0.728825491659954,-0.5824438385208353
-0.005073952702702702,-0.7187812925022928,-0.5747171650950658
-0.0050727027027027026,-0.7073978667902879,-0.563631068440713
-0.005071452702702702,-0.6946752145239238,-0.5525449717863552
-0.005070202702702703,-0.685970241920622,-0.5444823560377313
-0.005068952702702702,-0.6729127830156693,-0.5323884324147955
-0.005067702702702703,-0.6618641639422527,-0.5209663934375837
