Time (s),Channel 1 (V),Channel 2 (V)
-0.005119545454545455,-0.34212382409019987,-0.28412705582175296
-0.005118295454545454,-0.33877575770431456,-0.2807676325931597
-0.005117045454545454,-0.3347580780412514,-0.2774082093645652
-0.0051157954545454545,-0.3330840448483095,-0.27472067078169177
-0.005114545454545454,-0.33107520501677834,-0.2730409591673951
-0.005113295454545455,-0.32605310543795035,-0.2683377666473646
-0.005112045454545454,-0.32437907224500767,-0.2673299396787866
-0.005110795454545455,-0.32170061913630066,-0.26430645877305403
-0.005109545454545454,-0.31768293947323706,-0.26195486251303735
-0.005108295454545454,-0.3146696797259388,-0.25792355463872435
-0.005107045454545454,-0.311321613340055,-0.25557195837871016
-0.005105795454545454,-0.30830835359275666,-0.25154065050439667
-0.0051045454545454545,-0.30496028720687285,-0.24818122727580494
-0.005103295454545454,-0.3022818340981646,-0.24582963101578967
-0.005102045454545455,-0.2996033809894563,-0.24414991940149303
-0.005100795454545454,-0.2959205079649825,-0.2411264384957591
-0.005099545454545455,-0.2939116681334522,-0.2384388999128857
-0.005098295454545454,-0.290563601747566,-0.2347435343614319
-0.005097045454545454,-0.287215535361679,-0.2310481688099785
-0.005095795454545454,-0.2835326623372068,-0.22936845719568263
-0.005094545454545454,-0.28018459595131967,-0.22600903396708785
-0.0050932954545454545,-0.2761669162882591,-0.2226496107384961
-0.005092045454545454,-0.2724840432637853,-0.21929018750990284
-0.005090795454545455,-0.2701403967936666,-0.21626670660417027
-0.005089545454545454,-0.2667923304077802,-0.21324322569843496
-0.005088295454545455,-0.2641138772990732,-0.2098838024698432
-0.005087045454545454,-0.2600961976360096,-0.20786814853268573
-0.005085795454545454,-0.25574371133435747,-0.20450872530409092
-0.0050845454545454544,-0.25306525822565046,-0.2011493020754992
-0.005083295454545454,-0.2507216117555307,-0.1987977058154839
-0.0050820454545454545,-0.24603431881529123,-0.193758570972594
-0.005080795454545454,-0.24402547898376004,-0.19107103238971937
-0.005079545454545455,-0.23866857276634598,-0.18771160916112764
-0.005078295454545454,-0.23632492629622381,-0.1850240705782515
-0.005077045454545455,-0.23264205327175164,-0.18233653199537808
-0.005075795454545454,-0.2299636001630417,-0.17830522412106495
-0.005074545454545454,-0.2259459204999772,-0.1756176855381888
-0.0050732954545454545,-0.22125862755973988,-0.17225826230959707
-0.005072045454545454,-0.21958459436679723,-0.16957072372672244
-0.0050707954545454546,-0.21456249478796927,-0.1652034735295512
-0.005069545454545454,-0.211884041679261,-0.16318781959239523
-0.005068295454545455,-0.2085359752933772,-0.15949245404094434
-0.005067045454545454,-0.20485310226890183,-0.15613303081234936
-0.005065795454545454,-0.20150503588301424,-0.15344549222947262
-0.005064545454545454,-0.19648293630418853,-0.1487422997094442
-0.005063295454545454,-0.19313486991830156,-0.14605476112656834
-0.0050620454545454545,-0.18945199689382938,-0.14336722254369494
-0.005060795454545454,-0.1877779637008867,-0.14067968396082034
-0.005059545454545455,-0.18275586412205874,-0.13463272214935246
-0.005058295454545454,-0.1794077977361734,-0.1326170682121965
-0.005057045454545455,-0.17539011807311286,-0.12992952962932308
-0.005055795454545454,-0.1710376317714601,-0.12623416407786928
-0.005054545454545454,-0.16735475874698474,-0.12321068317213318
-0.005053295454545454,-0.16400669236110096,-0.11850749065210474
-0.005052045454545454,-0.15998901269803723,-0.11514806742350994
-0.0050507954545454545,-0.1569757529507418,-0.1117886441949182
-0.005049545454545454,-0.153962493203445,-0.10910110561204359
-0.005048295454545455,-0.1489403936246193,-0.10540574006059267
-0.005047045454545454,-0.1455923272387317,-0.10204631683199772
-0.005045795454545455,-0.14157464757567115,-0.0983509512805468
-0.005044545454545454,-0.13889619446696108,-0.09667123966624849
-0.005043295454545454,-0.13420890152671996,-0.09196804714621608
-0.0050420454545454544,-0.1305260285022478,-0.08793673927190598
-0.005040795454545454,-0.12617354220059687,-0.08491325836617204
-0.0050395454545454545,-0.12349508909188862,-0.08121789281471944
-0.005038295454545454,-0.11813818287447211,-0.0781944119089855
-0.005037045454545455,-0.1151249231271767,-0.07449904635753458
-0.005035795454545454,-0.11177685674129001,-0.07214745009751762
-0.005034545454545455,-0.10809398371681785,-0.06878802686892588
-0.005033295454545454,-0.10307188413798819,-0.06408483434889378
-0.005032045454545454,-0.10072823766786618,-0.06072541112029837
-0.0050307954545454545,-0.0957061380890405,-0.05602221860026993
-0.005029545454545454,-0.09269287834174371,-0.053670622340254645
-0.0050282954545454546,-0.08901000531726985,-0.0506471414345207
-0.005027045454545454,-0.08398790573844188,-0.04627989123734945
-0.005025795454545455,-0.07963541943679295,-0.04258452568589853
-0.005024545454545454,-0.07695696632808272,-0.04023292942588157
-0.005023295454545454,-0.07327409330360626,-0.036873506197285855
-0.005022045454545454,-0.06758238044760383,-0.031498429031539064
-0.005020795454545454,-0.06456912070030535,-0.02847494812580375
-0.0050195454545454545,-0.060886247675833186,-0.025451467220071182
-0.005018295454545454,-0.057538181289947865,-0.022092043991477912
-0.005017045454545455,-0.05318569498829696,-0.018732620762884643
-0.005015795454545454,-0.05017243524100017,-0.014701312888572718
-0.005014545454545455,-0.045150335662174475,-0.011005947337121803
-0.005013295454545454,-0.04146746263769834,-0.008654351077104834
-0.005012045454545454,-0.037784589613222515,-0.003951158557072576
-0.005010795454545454,-0.033432103311573584,-0.0002557930056216604
-0.005009545454545454,-0.0290796170099213,0.00276768790011381
-0.0050082954545454545,-0.026066357262625878,0.006127111128705552
-0.005007045454545454,-0.021379064322386433,0.00948653435729882
-0.005005795454545455,-0.017696191297912583,0.013181899908751417
-0.005004545454545454,-0.014013318273438737,0.01620538081448536
-0.005003295454545455,-0.010665251887554943,0.020572631011654623
-0.005002045454545454,-0.005308345670136911,0.024267996563109205
-0.005000795454545454,-0.003299505838603285,0.02561176585454819
-0.004999545454545454,0.0020574003788107875,0.02930713140599911
-0.004998295454545454,0.006075080041873169,0.03468220857174834
-0.0049970454545454545,0.01009275970493555,0.03804163180034161
-0.004995795454545454,0.012771212813643804,0.040729170383216225
-0.004994545454545455,0.01946734558541139,0.04711207451754054
-0.004993295454545454,0.021476185416945633,0.04811990148612142
-0.004992045454545455,0.025828671718594563,0.051479324714713164
-0.004990795454545454,0.02917673810448186,0.05551063258902661
-0.004989545454545454,0.03285961112895784,0.05853411349476239
-0.0049882954545454545,0.037546904069195156,0.06256542136907248
-0.004987045454545454,0.04056016381649194,0.0665967292433844
-0.0049857954545454546,0.045247456756731384,0.070292094794837
-0.004984545454545454,0.0485955231426167,0.07230774873199296
-0.004983295454545455,0.052948009444265635,0.07600311428344388
-0.004982045454545454,0.05696568910732999,0.07936253751203882
-0.004980795454545454,0.06064856213180567,0.08406573003207093
-0.004979545454545454,0.06466624179486623,0.08742515326066268
-0.004978295454545454,0.06868392145792998,0.08944080719782031
-0.0049770454545454545,0.07169718120522539,0.09313617274927123
-0.004975795454545454,0.07571486086828777,0.09716748062358316
-0.004974545454545455,0.07973254053135015,0.10052690385217643
-0.004973295454545454,0.08408502683300106,0.1038863270807697
-0.004972045454545455,0.08776789985747324,0.10791763495507978
-0.004970795454545454,0.09111596624336024,0.11060517353795624
-0.004969545454545454,0.09580325918360105,0.11463648141226922
-0.004968295454545454,0.09881651893089646,0.11698807767228345
-0.004967045454545454,0.10383861850972581,0.12068344322373727
-0.0049657954545454545,0.10685187825702123,0.12337098180661066
-0.004964545454545454,0.11120436455867214,0.12807417432664123
-0.004963295454545455,0.11555685086032305,0.13143359755523448
-0.004962045454545454,0.11857011060761984,0.13445707846096844
-0.004960795454545455,0.12158337035491525,0.13815244401241933
-0.004959545454545454,0.12459663010221342,0.13983215562671766
-0.004958295454545454,0.1282795031266894,0.14352752117817225
-0.004957045454545454,0.1329667960669267,0.14789477137534152
-0.004955795454545454,0.13865850892293177,0.15091825228107544
-0.0049545454545454545,0.14234138194740562,0.15494956015538738
-0.004953295454545454,0.14501983505611385,0.1579730410611213
-0.004952045454545455,0.1480330948034093,0.16066057964399472
-0.004950795454545454,0.15305519438223864,0.16435594519544852
-0.004949545454545455,0.15573364749094565,0.16771536842404028
-0.004948295454545454,0.15941652051542074,0.16973102236119775
-0.004947045454545454,0.1641038134556623,0.17443421488122973
-0.0049457954545454545,0.16879110639589961,0.17745769578696227
-0.004944545454545454,0.1707999462274308,0.1801452343698369
-0.0049432954545454546,0.17515243252908172,0.18484842688986747
-0.004942045454545454,0.17850049891496703,0.18720002314988277
-0.004940795454545455,0.18050933874649733,0.1892156770870378
-0.004939545454545454,0.1855314383253262,0.19324698496135065
-0.004938295454545455,0.18988392462697515,0.19593452354422403
-0.004937045454545454,0.19289718437427392,0.19962988909567786
-0.004935795454545454,0.19591044412157313,0.20231742767855446
-0.0049345454545454545,0.2012673503389872,0.20668467787572373
-0.004933295454545454,0.20428061008628398,0.209036274135739
-0.004932045454545455,0.2086330963879349,0.21306758201005094
-0.004930795454545454,0.2119811627738202,0.21676294756150352
-0.004929545454545455,0.21432480924393887,0.2184426591757994
-0.004928295454545454,0.21767287562982526,0.2211301977586748
-0.004927045454545454,0.2216905552928893,0.22482556331012876
-0.004925795454545454,0.22537342831736148,0.22784904421586133
-0.004924545454545454,0.22905630134183716,0.23053658279873793
-0.0049232954545454545,0.2330739810048977,0.2349038329959072
-0.004922045454545454,0.2347480141978404,0.23624760228734448
-0.004920795454545455,0.23843088722231423,0.23927108319307844
-0.004919545454545454,0.24211376024678807,0.24330239106739035
-0.004918295454545455,0.2468010531870254,0.2466618142959821
-0.004917045454545454,0.2494795062957358,0.24800558358742095
-0.004915795454545454,0.2528275726816227,0.2520368914617339
-0.004914545454545454,0.25651044570609494,0.25438848772174816
-0.004913295454545454,0.2598585120919813,0.2574119686274835
-0.0049120454545454545,0.26220215856209994,0.260435449533216
-0.004910795454545454,0.2668894515023394,0.262451103470372
-0.004909545454545455,0.2692330979724581,0.26614646902182293
-0.004908295454545454,0.272915970996933,0.26816212295898056
-0.004907045454545455,0.2762640373828168,0.2721934308332906
-0.004905795454545454,0.2796121037687036,0.27454502709330775
-0.004904545454545454,0.2836297834317672,0.2772325656761833
-0.0049032954545454545,0.2863082365404742,0.27924821961333834
-0.004902045454545454,0.28932149628777104,0.2822717005190723
-0.0049007954545454546,0.2919999493964793,0.28495923910194687
-0.004899545454545454,0.2953480157823646,0.28731083536196217
-0.004898295454545455,0.2973568556138949,0.2899983739448356
-0.004897045454545454,0.30103972863836964,0.2936937394962894
-0.004895795454545455,0.30438779502425345,0.29570939343344443
-0.004894545454545454,0.3084054746873173,0.2987328743391793
-0.004893295454545454,0.31041431451885054,0.3000766436306186
-0.0048920454545454545,0.31476680082049946,0.30444389382778786
-0.004890795454545454,0.31778006056779623,0.3074673747335218
-0.004889545454545455,0.320793320315093,0.3094830286706778
-0.004888295454545454,0.3224673535080357,0.31116274028497437
-0.004887045454545455,0.3258154198939195,0.3145221635135661
-0.004885795454545454,0.3284938730026292,0.31552999048214564
-0.004884545454545454,0.3325115526656931,0.31956129835645897
-0.004883295454545454,0.33585961905157696,0.32258477926219153
-0.004882045454545454,0.3382032655216979,0.3249363755222074
-0.0048807954545454545,0.3408817186304049,0.3262801448136441
-0.004879545454545454,0.3428905584619361,0.3276239141050814
-0.004878295454545455,0.3462386248478214,0.33031145268795603
-0.004877045454545454,0.3485822713179412,0.3336708759165493
-0.004875795454545455,0.35159553106523656,0.3353505875308452
-0.004874545454545454,0.3546087908125347,0.33837406843657986
-0.004873295454545454,0.3576220505598327,0.34005378005087805
-0.004872045454545454,0.3603005036685398,0.3434132032794698
-0.004870795454545454,0.36297895677724984,0.346100741862345
-0.0048695454545454545,0.3669966364403104,0.3474445111537817
-0.004868295454545454,0.36867066963325307,0.34912422276807836
-0.004867045454545455,0.3713491227419601,0.35046799205951507
-0.004865795454545454,0.37402757585066954,0.35416335761096823
-0.004864545454545455,0.37570160904361144,0.35617901154812326
-0.004863295454545454,0.378714868790909,0.3581946654852802
-0.004862045454545454,0.3807237086224422,0.3592024924538597
-0.0048607954545454544,0.3850761949240911,0.36256191568245144
-0.004859545454545454,0.38608061483985673,0.3632338003281701
-0.0048582954545454545,0.3890938745871535,0.3665932235567633
-0.004857045454545454,0.3914375210572732,0.36827293517105997
-0.004855795454545455,0.3937811675273919,0.3706245314310742
-0.004854545454545454,0.3974640405518668,0.3733120700139499
-0.004853295454545455,0.39779884719045516,0.37364801233680905
-0.004852045454545454,0.4008121069377521,0.3759996085968245
-0.004850795454545454,0.404160173323638,0.3786871471796997
-0.0048495454545454545,0.40549939987799155,0.3800309164711364
-0.004848295454545454,0.40784304634811125,0.3820465704082924
-0.004847045454545455,0.41052149945681954,0.38406222434544834
-0.004845795454545454,0.41186072601117363,0.384734108991167
-0.004844545454545455,0.4142043724812923,0.38641382060546287
-0.004843295454545454,0.4165480189514131,0.3894373015111976
-0.004842045454545454,0.41922647206012276,0.3914529554483543
-0.004840795454545454,0.42223973180741814,0.39313266706265015
-0.004839545454545454,0.4232441517231842,0.3931326670626514
-0.0048382954545454545,0.4242485716389493,0.3958202056455248
-0.004837045454545454,0.42659221810906905,0.39783585958268075
-0.004835795454545455,0.42893586457918875,0.3998515135198367
-0.004834545454545454,0.4322839309650741,0.4008593404884147
-0.004833295454545455,0.43395796415801596,0.40253905210271057
-0.004832045454545454,0.4352971907123709,0.4038828213941486
-0.004830795454545454,0.4383104504596681,0.40522659068558686
-0.004829545454545454,0.43931487037543326,0.4072422446227419
-0.004828295454545454,0.44065409692978863,0.40757818694560244
-0.0048270454545454545,0.44333255003849564,0.41026572552847584
-0.004825795454545454,0.4446717765928498,0.41127355249705383
-0.004824545454545455,0.44634580978579164,0.41261732178849053
-0.004823295454545454,0.44868945625591217,0.4146329757256471
-0.004822045454545455,0.4483546496173238,0.4139610910799288
-0.004820795454545454,0.45170271600320894,0.4166486296628031
-0.004819545454545454,0.4540463624733291,0.41866428359995933
-0.0048182954545454544,0.45505078238909424,0.41933616824567765
-0.004817045454545454,0.4557203956662713,0.4200080528913963
-0.0048157954545454545,0.458064042136391,0.42168776450569295
-0.004814545454545454,0.45940326869074516,0.42269559147427094
-0.004813295454545455,0.4604076886065103,0.4230315337971301
-0.004812045454545454,0.46342094835380754,0.4260550147028642
-0.004810795454545455,0.4644253682695727,0.4263909570257234
-0.004809545454545454,0.46542978818533876,0.4267268993485829
-0.004808295454545454,0.4667690147396936,0.42807066864002125
-0.0048070454545454545,0.4684430479326355,0.43042226490003543
