Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
992.954226171715,0.02954412286183683,-31.40552294025266,-91.44850941489892
996.5355518347814,0.02966729387268894,-31.36765260122662,-91.51682182893038
1000.12979440093,0.02996089636764968,-31.33217928636723,-91.52446156676577
1003.737000458046,0.02984976044422557,-31.29974824163302,-91.52740078247275
1007.357216762043,0.02946868166170554,-31.26820861423247,-91.51819647603648
1010.990490237472,0.02980493797502873,-31.21617725837202,-91.55286709559982
1014.636867978129,0.0297542637366849,-31.18958127773638,-91.51077379914842
1018.296397247663,0.0296692591530878,-31.13949839921555,-91.53903099625097
1021.969125480194,0.02991965002215325,-31.10288929168514,-91.54254827566169
1025.65510028092,0.02934023493663517,-31.07131288157442,-91.55576050455525
1029.354369426742,0.02987953219476629,-31.04006007539087,-91.57951734368672
1033.066980866879,0.02980482469001738,-30.99684289621983,-91.55903879321231
1036.79298272349,0.02968321054516625,-30.96041398312749,-91.51046458109926
1040.532423292296,0.02972293595902234,-30.92685364167367,-91.5705861948402
1044.285351043213,0.02992993099173197,-30.88953695403771,-91.61867630658855
1048.051814620969,0.02949527022617469,-30.84233058628023,-91.65710035242192
1051.831862845746,0.02970260847544214,-30.80705075749293,-91.59643167220555
1055.625544713805,0.02998504968123267,-30.76413561415795,-91.60318495983512
1059.432909398125,0.03012895124054833,-30.73660735430812,-91.67125028035311
1063.254006249037,0.02989378936248373,-30.69873799200068,-91.70167638219252
1067.088884794867,0.03000717664063599,-30.64199874829874,-91.5437150312043
1070.937594742578,0.02999566912948583,-30.61458009560802,-91.57649068961834
1074.800185978411,0.02974697425355718,-30.58642564061023,-91.67315383815566
1078.676708568534,0.02986673253485899,-30.53719509319171,-91.6620216176713
1082.567212759692,0.02967119756850022,-30.50449714878086,-91.69236861493528
1086.471748979854,0.02978337444942306,-30.46754874553808,-91.63676164769562
1090.390367838872,0.03007142456897342,-30.41932624425235,-91.63591715339737
1094.323120129133,0.02985775225095263,-30.38931840545509,-91.68847892199759
1098.270056826221,0.02992592871870373,-30.35001987845266,-91.70607395400837
1102.231229089572,0.03016918478526442,-30.30851354439181,-91.71791870201258
1106.206688263145,0.02973849617215786,-30.2697897618671,-91.69841181535025
1110.196485876078,0.02989728402298752,-30.23150332426734,-91.71610083102792
1114.200673643367,0.03034877855404412,-30.18301290370939,-91.7129439740978
1118.219303466525,0.02992158666219016,-30.15265638417389,-91.67315792207341
1122.252427434264,0.03024489679498206,-30.11901086756278,-91.71378326342233
1126.300097823164,0.03026696578384836,-30.07604152476107,-91.74641101626624
1130.362367098355,0.0298630268064554,-30.03804169221983,-91.69546837795842
1134.439287914193,0.03023729245696034,-29.99814282425724,-91.70584812049492
1138.530913114945,0.03009588657045453,-29.95989143092512,-91.80205356272586
1142.637295735475,0.02990079249570899,-29.91901653419854,-91.77894649547382
1146.758489001927,0.03065949247543717,-29.88433228457876,-91.73974327071778
1150.89454633242,0.03035141749976653,-29.83270243466925,-91.75601261393155
1155.045521337738,0.03040850353171952,-29.79907848246556,-91.74009235782994
1159.211467822024,0.03013199486652164,-29.75932366579827,-91.77983160525886
1163.392439783478,0.03027514731234255,-29.69517287843948,-91.77284941369305
1167.58849141506,0.03008494666307688,-29.66139705509333,-91.85378892270042
1171.799677105187,0.03011426576447152,-29.62459215931757,-91.78984592401414
1176.026051438443,0.03036607710114907,-29.58541540669049,-91.80211087450357
1180.267669196282,0.02980695524035278,-29.54927578648416,-91.82762692788431
1184.524585357741,0.03024714113783819,-29.50368761883837,-91.78992092442203
1188.796855100155,0.0304629495273172,-29.4691740534466,-91.81787409729451
1193.084533799864,0.03001804396156796,-29.4258843494814,-91.86687967359866
1197.38767703294,0.03033308003163323,-29.37812371804392,-91.8924530575126
1201.706340575901,0.03027002214292344,-29.34718984351662,-91.85337293276447
1206.040580406438,0.03011445096159017,-29.29653163284671,-91.86499914648277
1210.390452704139,0.03043103057988529,-29.26486885156973,-91.87819288112891
1214.756013851215,0.03024935273473528,-29.21751255690914,-91.89515431542459
1219.137320433234,0.03051646196687966,-29.18026716575383,-91.90192155599222
1223.534429239853,0.03024107227630936,-29.13491331197823,-91.9522859244404
1227.947397265555,0.03012976031048393,-29.09253388552376,-91.92386282534203
1232.376281710388,0.03012308656952711,-29.05525512260326,-91.92179256795202
1236.821139980703,0.03010698689283501,-29.01251227071743,-91.95333369449172
1241.282029689903,0.0302407573355892,-28.98314316097019,-91.90358389587337
1245.759008659186,0.03008952936079404,-28.94188332026102,-91.93178610192591
1250.252134918297,0.03024301149607923,-28.88471081768307,-91.87905164137186
1254.761466706278,0.03051677594076495,-28.85595873526196,-91.9878318256478
1259.287062472225,0.03075716998297161,-28.81368440729215,-91.95570919583338
1263.828980876044,0.03050704096487881,-28.77182826855837,-91.97326914971417
1268.387280789212,0.03018056491495386,-28.72539483066684,-91.95496226025679
1272.96202129554,0.03040936183472875,-28.68466329863203,-92.01175240056762
1277.553261691939,0.0303699164855684,-28.64868424088804,-92.01970091079787
1282.161061489187,0.03054191640204043,-28.60858304170726,-92.00256395029655
1286.785480412706,0.0304105845667981,-28.55901439005229,-92.04036658950406
1291.426578403325,0.03064681480450112,-28.51540786984728,-92.04330920371468
1296.084415618071,0.03036123962098904,-28.47774777012336,-92.00723310107171
1300.759052430937,0.03040921625569251,-28.4354310332674,-92.00603617619197
1305.450549433672,0.03044919909296584,-28.39009088735306,-92.0517185193424
1310.15896743656,0.03085644168670618,-28.34631396444068,-92.01011175818667
1314.884367469215,0.03031100303109555,-28.31510200203538,-92.05720700742677
1319.626810781368,0.03055083644549202,-28.26317229808981,-92.07539802526649
1324.386358843662,0.03052654067111273,-28.21936566122321,-92.06950101230899
1329.163073348446,0.03043560028112333,-28.17929007205363,-92.05581739679397
1333.957016210581,0.0304961298065287,-28.14094888896198,-92.07644257846852
1338.768249568237,0.03070557721401449,-28.09351688680695,-92.0649419592869
1343.596835783698,0.03055907428216739,-28.05362511485489,-92.0929157046381
1348.442837444177,0.03051453200506073,-28.01366629488304,-92.11720915129422
1353.306317362617,0.03048332002436014,-27.97367910796847,-92.18858128045196
1358.187338578516,0.03047467951356062,-27.92152733916456,-92.11993974669437
1363.085964358736,0.03084237881183458,-27.8816873711482,-92.15492075514764
1368.002258198326,0.03060380674419864,-27.84678032963309,-92.16824367496415
1372.936283821347,0.03062937130674687,-27.80002233949188,-92.1306874243319
1377.888105181695,0.03028185173185575,-27.76373869619967,-92.14232659726599
1382.857786463929,0.03090796213877263,-27.71063690360349,-92.2264336836822
1387.845392084108,0.03102278227833161,-27.66495404122332,-92.2052981755408
1392.85098669062,0.03110056557296335,-27.62101082455794,-92.19801595875214
