Frequency (Hz),Trace 1 (dBV),Phase (deg),Trace 2 (dBV),Phase (deg)
0,5.32887390281538,0,-43.55468760629796,0
4.8828125,5.01591326314574,179.7123362035533,-43.68700219957204,173.0504289083972
9.765625,1.402810303909859,179.8646518695325,-47.9438665748679,169.6705311370141
14.6484375,-9.901197611122667,0.9288539569262986,-71.10052417224372,143.6116968053287
19.53125,-30.05255129570623,132.0002143930124,-58.10832314036596,141.2466504881671
24.4140625,-23.32042066396144,137.3678811038378,-53.39049788891434,116.0283286709923
29.296875,-22.06315610094439,141.6625263875293,-51.12318699764315,117.3511007047122
34.1796875,-21.15993441462607,149.7654424534017,-50.42429449638647,121.0652281732999
39.0625,-20.70782429428612,152.9085454702961,-50.39747152751937,126.0777925261039
43.9453125,-21.32512276369519,157.0445769770476,-51.28977119459793,136.2400001338817
48.828125,-23.04646015332865,152.9822155945356,-53.36031784730055,137.4789219007371
53.7109375,-24.06325753989168,125.6178268860947,-56.68978097198514,122.6915709918076
58.59375,-23.28164494275216,100.036657591596,-61.40704198828124,81.35766951312935
63.4765625,-24.01006709618687,88.35087807875377,-59.88509182005732,22.73601411419527
68.359375,-25.33096774638464,81.64313642009886,-58.09551466761592,8.71687734029917
73.2421875,-28.29052416104102,79.61487990018574,-58.72913626562168,173.1055319047385
78.125,-37.5633593081124,111.5854401019571,-59.88514549295716,133.6426853696645
83.0078125,-34.5711199285407,1.950065629122247,-60.99390875679248,91.54032139371513
87.890625,-32.33345424504784,5.225877082347806,-63.54788106385062,89.63339173722193
92.7734375,-31.54971598725933,172.0129852016128,-63.12829213893433,155.6911628403983
97.65625,-29.29272840758912,149.4579137305734,-58.39586635953093,18.14810340026372
102.5390625,-29.62811286250655,144.6313962712851,-56.9826305351893,31.18516813552674
107.421875,-29.19839526007703,152.2743193945384,-59.93197828196812,37.74235166635942
112.3046875,-25.85461501902088,152.2202847420994,-61.57696082130637,94.79206295199477
117.1875,-25.45478393977213,154.9488501191194,-55.92584836874222,130.4617639701665
122.0703125,-26.07355902038986,157.7339635116693,-53.77651338745019,140.5419783394902
126.953125,-26.07294493378233,145.6073658695524,-54.18412947717933,135.0019229710506
131.8359375,-26.38252735670252,141.547383670384,-55.4261872175661,127.8447198497593
136.71875,-26.13669439750803,151.0891636373911,-57.39088578115026,128.1030488072619
141.6015625,-27.47799107272144,146.7156990379242,-59.85706927797865,103.5470415562935
146.484375,-29.10266367547154,125.111760716544,-58.75232731841122,73.59528121183334
151.3671875,-28.04570115082936,99.58802916763192,-58.67199353399499,50.09884904682603
156.25,-26.46056396315339,71.49387802839721,-56.7581348596577,17.63900565792222
161.1328125,-25.39605900142126,55.40358881820116,-54.18600310472038,1.490693936569465
166.015625,-26.40463924623505,49.51012300935192,-53.098688937117,169.0067718945472
170.8984375,-29.24075901067202,43.11845549158637,-53.19004182811993,161.2892128607048
175.78125,-31.99636445971998,33.14901680157507,-54.25874714919883,158.5675206324107
180.6640625,-31.65336216374889,29.30406042363501,-55.4193523064358,149.6998765259021
185.546875,-29.3524126807574,29.7861154363187,-55.82611640146686,135.6746449227967
190.4296875,-29.73797717576415,20.04789666902199,-57.03290741469347,111.4876542761986
195.3125,-32.27147678491877,9.248964710516603,-56.89664000998156,91.36826765035417
200.1953125,-32.97522062586925,11.02133317023823,-55.87930507293212,102.0807613960664
205.078125,-34.06736103754058,172.5571744735857,-54.6930373793622,104.1160005586882
209.9609375,-33.49099663951326,154.7230472525042,-52.54787575191636,102.4899092916491
214.84375,-30.75567427773467,165.9484037269477,-49.94707203536486,106.268307108342
219.7265625,-30.33221461321437,166.4223704014188,-49.37169562160962,103.9228912800147
224.609375,-34.89902030669187,170.2333321876853,-50.79034691609511,97.75159371858985
