Time (s),v_in (V),v_out (V)
-0.0010184999999999999,-0.1139698569796954,-0.06489223814215789
-0.0010182499999999998,-0.1122917418049595,-0.06318968409567309
-0.001018,-0.11195611877001266,-0.06353019490496978
-0.00101775,-0.11162049573506551,-0.06387070571426677
-0.0010175,-0.10893551145548815,-0.06250866247707897
-0.00101725,-0.10792864235064668,-0.060125086812000045
-0.001017,-0.10490803503612232,-0.06080610843059402
-0.0010167499999999999,-0.10322991986138595,-0.059444065193405296
-0.0010164999999999998,-0.10188742772159705,-0.057741511146920665
-0.00101625,-0.09987368951191597,-0.05671997871903063
-0.001016,-0.097524328267285,-0.05637946790973318
-0.00101575,-0.09483934398770778,-0.05637946790973318
-0.0010155,-0.09349685184791919,-0.05399589224465426
-0.0010152499999999999,-0.09148311363823627,-0.05059078415168438
-0.0010149999999999998,-0.09181873667318342,-0.05025027334238771
-0.00101475,-0.09181873667318342,-0.050931294960981054
-0.0010145,-0.08812688328876644,-0.05161231657957503
-0.00101425,-0.08544189900918756,-0.05127180577027836
-0.001014,-0.08477065293929326,-0.04922874091449643
-0.00101375,-0.08342816079950464,-0.04786669767730847
-0.0010134999999999999,-0.0820856686597162,-0.04820720848660485
-0.0010132499999999998,-0.08242129169466228,-0.04684516524941673
-0.001013,-0.0804075534849812,-0.04514261120293335
-0.00101275,-0.0790650613451923,-0.045483122012229406
-0.0010125,-0.07604445403066731,-0.03833239501699281
-0.00101225,-0.07604445403066731,-0.04275903553785365
-0.0010119999999999999,-0.0733594697510901,-0.043780567965744616
-0.0010117499999999998,-0.07101010850646004,-0.041396992300665084
-0.0010114999999999998,-0.07101010850645974,-0.04003494906347744
-0.00101125,-0.07033886243656605,-0.039353927444884085
-0.001011,-0.06765387815698853,-0.038672905826289794
-0.00101075,-0.06698263208709423,-0.038672905826289794
-0.0010105,-0.06530451691235847,-0.03628933016121088
-0.0010102499999999999,-0.06362640173762273,-0.034586776114726714
-0.0010099999999999998,-0.06362640173762166,-0.036289330161210415
-0.00100975,-0.061277040492993734,-0.03526779773332038
-0.0010095,-0.05792081014352268,-0.03356524368683575
-0.00100925,-0.055235825863943946,-0.03220320044964702
-0.001009,-0.0549002028289968,-0.03254371125894401
-0.0010087499999999999,-0.053893333724155335,-0.03050064640316208
-0.0010084999999999998,-0.05187959551447152,-0.031181668021755593
-0.0010082499999999998,-0.04986585730478907,-0.03016013559386525
-0.001008,-0.04885898819994852,-0.030500646403161923
-0.00100775,-0.047852119095106616,-0.02845758154738015
-0.0010075,-0.045838380885423705,-0.026074005882301236
-0.00100725,-0.04416026571068796,-0.025052473454410272
-0.0010069999999999999,-0.042146527501005046,-0.024371451835816293
-0.0010067499999999998,-0.039797166256374375,-0.024030941026518225
-0.0010065,-0.038454674116587,-0.021647365361441472
-0.00100625,-0.03778342804669238,-0.022328386980034056
-0.001006,-0.03576968983700918,-0.0213068545521434
-0.00100575,-0.034091574662273416,-0.019263789696361472
-0.0010054999999999999,-0.030735344312801904,-0.018582768077767497
-0.0010052499999999999,-0.029392852173012993,-0.017901746459173213
-0.0010049999999999998,-0.028721606103118233,-0.0172207248405797
-0.00100475,-0.027043490928384,-0.017561235649876376
-0.0010045,-0.02737911396333039,-0.015858681603391593
-0.00100425,-0.026036621823541786,-0.015518170794094604
-0.001004,-0.02200914540417597,-0.016880214031282557
-0.0010037499999999999,-0.020666653264387366,-0.020285322124252436
-0.0010034999999999998,-0.01965978415954515,-0.013815616747608733
-0.00100325,-0.01798166898481092,-0.011772551891828662
-0.001003,-0.01898853808965115,-0.011772551891827734
-0.00100275,-0.01361856953049719,-0.01075101946393677
-0.0010025,-0.011269208285867131,-0.009048465417451829
-0.0010022499999999999,-0.010597962215972829,-0.008026932989560864
-0.0010019999999999999,-0.010597962215972676,-0.005983868133778161
-0.0010017499999999998,-0.010262339181024151,-0.00428131408729384
-0.0010015,-0.006906108831555692,-0.003940803277997161
-0.00100125,-0.005227993656818409,-0.00530284651518496
-0.001001,-0.004556747586924106,-0.003940803277997007
-0.00100075,-0.00287863241218835,-0.003940803277997007
-0.0010004999999999999,-0.0015361402723997452,-0.0018977384222150784
-0.0010002499999999998,0.00014197490233738464,-0.0015572276129180904
-0.001,0.003162582216858999,-0.0015572276129180904
-0.00099975,0.004169451321701368,0.001166858861456576
-0.0009995,0.004169451321701826,0.0025289020986457673
-0.00099925,0.0048406973915961285,0.0025289020986457673
-0.0009989999999999999,0.0061831895313847335,0.0028694129079427553
-0.0009987499999999999,0.010210665950752075,0.003550434526538125
-0.0009984999999999998,0.013566896300220992,0.006615031810210244
-0.00099825,0.01121753505559307,0.007977075047396958
-0.000998,0.012895650230327758,0.008998607475288542
-0.00099775,0.014573765405063515,0.006955542619506613
-0.0009975,0.01658750361474642,0.007636564238100589
-0.0009972499999999999,0.01826561878948218,0.010360650712476493
-0.0009969999999999998,0.019943733964219005,0.010360650712476339
-0.00099675,0.022293095208846925,0.01002013990317966
-0.0009965,0.022628718243794994,0.011722693949663673
-0.00099625,0.024978079488425203,0.015127802042634328
-0.000996,0.027998686802949566,0.012063204758961435
-0.0009957499999999999,0.028669932872843865,0.01478729123333734
-0.0009954999999999999,0.030012425012633234,0.013425247996150625
-0.0009952499999999998,0.031690540187369,0.0161493344705287
-0.000995,0.03336865536210322,0.023640572275055623
-0.00099475,0.035382393571786894,0.019554442563495172
-0.0009945,0.03840300088631125,0.02023546418208915
-0.00099425,0.03907424695620555,0.020575974991386137
-0.0009939999999999999,0.040416739095994164,0.02227852903787108
-0.0009937499999999998,0.0414236082008376,0.022959550656465676
-0.0009935,0.0457867076551466,0.02432159389365239
-0.00099325,0.046793576759989575,0.025343126321543508
-0.000993,0.047800445864831495,0.026024147940137948
-0.00099275,0.05014980710946154,0.026705169558731923
-0.0009925,0.051492299249250154,0.027045680368028912
-0.0009922499999999999,0.05115667621430392,0.027726701986623196
-0.0009919999999999998,0.05317041442398637,0.028407723605216557
-0.00099175,0.054177283528826906,0.027726701986623196
-0.0009915,0.05518415263366881,0.030450788460998794
-0.00099125,0.05551977566861596,0.030450788460998794
-0.000991,0.05753351387829887,0.03079129927029578
-0.0009907499999999999,0.058540382983140335,0.03283436412607771
-0.0009904999999999998,0.0622322363675593,0.03419640736326613
-0.00099025,0.06290348243745299,0.035217939791156165
-0.00099,0.0635747285073473,0.03521793979115663
-0.00098975,0.06525284368208335,0.0358989614097506
-0.0009895,0.06760220492671341,0.03828253707482952
-0.00098925,0.06995156617134347,0.03726100464693856
-0.0009889999999999999,0.07196530438102684,0.038282537074829835
-0.0009887499999999998,0.07297217348586829,0.03896355869342458
-0.0009885,0.07397904259070884,0.04134713435850133
-0.00098825,0.07498591169555029,0.042028155977096075
-0.000988,0.07901338811491655,0.0416876451677994
-0.00098775,0.08069150328965231,0.04100662354920542
-0.0009874999999999999,0.08270524149933522,0.044071220832878316
-0.0009872499999999998,0.08304086453428298,0.044411731642176086
-0.0009869999999999998,0.0843833566740725,0.04611428568866102
-0.00098675,0.08773958702354097,0.04781683973514441
-0.0009865,0.0890820791633311,0.04509275326076928
-0.00098625,0.09008894826817256,0.042709177595690366
-0.000986,0.0890820791633311,0.04883837216303615
-0.0009857499999999999,0.0917670634429083,0.04951939378163013
-0.0009854999999999998,0.09411642468753852,0.04985990459092789
-0.00098525,0.09445204772248536,0.05156245863741128
-0.000985,0.09478767075743251,0.05190296944670889
-0.00098475,0.09780827807195702,0.05088143701881808
-0.0009845,0.09915077021174563,0.05360552349319399
-0.0009842499999999999,0.1008288853864814,0.055308077539678924
-0.0009839999999999998,0.1038494927010056,0.055648588348976534
-0.0009837499999999998,0.10351386966606027,0.057010631586164484
-0.0009835,0.10720572305047558,0.0583726748233512
-0.00098325,0.11022633036500162,0.060415739679133745
-0.000983,0.11089757643489592,0.06075625048843074
-0.00098275,0.11056195339994877,0.062458804534915674
-0.0009824999999999999,0.11257569160963168,0.06382084777210363
-0.0009822499999999998,0.11324693767952705,0.06416135858140032
-0.000982,0.11559629892415497,0.06348033696280694
-0.00098175,0.11693879106394404,0.06620442343718132
-0.0009815,0.1186169062386804,0.06552340181858857
-0.00098125,0.12029502141341616,0.06722595586507352
-0.0009809999999999999,0.12163751355320476,0.06790697748366749
-0.0009807499999999999,0.12298000569299444,0.06790697748366827
-0.0009804999999999998,0.12532936693762434,0.06960953153015212
-0.00098025,0.1273431051473054,0.06892850991155876
-0.00098,0.12868559728709492,0.06892850991155845
-0.00097975,0.12935684335698924,0.06892850991155845
-0.0009795,0.12969246639193638,0.07097157476734038
-0.0009792499999999999,0.13338431977635504,0.07369566124171628
-0.0009789999999999998,0.13573368102098585,0.0760792369067949
-0.00097875,0.1374117961957201,0.07539821528820154
-0.0009785,0.13774741923066788,0.0760792369067949
-0.00097825,0.13808304226561516,0.07846281257187412
-0.000978,0.14043240351024522,0.0764197477160922
-0.0009777499999999999,0.14143927261508668,0.08050587742765605
-0.0009774999999999999,0.1434530108247705,0.08459200713921836
-0.0009772499999999998,0.1454667490344531,0.08118689904624972
-0.000977,0.1468092411742405,0.08050587742765636
-0.00097675,0.148822979383924,0.081867920664844
-0.0009765,0.15050109455865976,0.08357047471132895
-0.00097625,0.15150796366350122,0.08391098552062592
-0.000976,0.15285045580328982,0.08357047471132895
-0.00097575,0.15687793222265609,0.0856135395671118
-0.0009755000000000001,0.1578848013274966,0.08765660442289187
-0.0009752500000000001,0.15754917829255008,0.0876566044228928
-0.0009750000000000001,0.1585560473973914,0.08731609361359581
-0.00097475,0.1612410316769686,0.08935915846937774
-0.0009745,0.1625835238167572,0.0907212017065657
-0.00097425,0.16224790078181112,0.09038069089726979
-0.0009739999999999999,0.16459726202644026,0.09276426656234732
-0.0009737500000000001,0.16493288506138712,0.09208324494375394
-0.0009735000000000001,0.16593975416622872,0.09242375575305063
-0.00097325,0.16929598451570024,0.09412630979953557
-0.000973,0.17198096879527744,0.09412630979953557
-0.00097275,0.17533719914474896,0.09685039627391148
-0.0009725,0.1756728221796958,0.09753141789250515
-0.0009722500000000001,0.1750015761098021,0.09685039627391179
-0.0009720000000000001,0.1783578064592718,0.0982124395110988
-0.0009717500000000001,0.18070716770390338,0.09889346112969341
-0.0009715,0.18305652894853344,0.10059601517617835
-0.00097125,0.18339215198348058,0.10093652598547534
-0.0009710000000000001,0.18507026715821634,0.10025550436688135
-0.00097075,0.188762120542635,0.10263908003196028
-0.0009705,0.18842649750768786,0.10536316650633618
-0.00097025,0.188762120542635,0.1046821448877422
-0.00097,0.19044023571737076,0.10604418812493016
-0.00096975,0.19278959696200082,0.10706572055282113
-0.0009695,0.19480333517168372,0.1077467421714151
-0.0009692500000000001,0.19513895820663088,0.10808725298071209
-0.000969,0.19815956552115524,0.10536316650633618
-0.00096875,0.19883081159104954,0.10297959084125727
-0.0009685000000000001,0.20017330373083814,0.11013031783649402
-0.00096825,0.2011801728356796,0.11217338269227595
-0.000968,0.20352953408030966,0.11149236107368196
-0.0009677500000000001,0.20587889532493972,0.11319491512016691
-0.0009675,0.20822825656956978,0.11387593673876088
-0.00096725,0.20957074870935838,0.11489746916665185
-0.000967,0.21124886388409414,0.1189835988782157
-0.00096675,0.21091324084914698,0.11694053402243378
-0.0009665,0.21192010995398844,0.11762155564102775
-0.00096625,0.2122557329889356,0.1193241096875127
-0.0009660000000000001,0.21393384816367134,0.1189835988782157
-0.00096575,0.21594758637335426,0.12000513130610667
-0.0009655,0.21729007851314286,0.1217076853525916
-0.0009652500000000001,0.21829694761798432,0.1220481961618886
-0.000965,0.22031068582766722,0.1217076853525916
-0.00096475,0.22031068582766722,0.12272921778048257
-0.0009645000000000001,0.22198880100240298,0.12306972858977956
-0.00096425,0.22635190045671594,0.12409126101767053
-0.000964,0.228701261701346,0.12613432587345247
-0.00096375,0.2300437538411346,0.12885841234782835
-0.0009635000000000001,0.2307149999110289,0.12919892315712536
-0.00096325,0.23205749205081752,0.12919892315712536
-0.000963,0.23373560722555328,0.12953943396642234
-0.0009627500000000001,0.23507809936534188,0.1312419880129073
-0.0009625,0.23474247633039472,0.13328505286868922
-0.00096225,0.23574934543523618,0.13260403125009523
-0.0009620000000000001,0.23910557578470767,0.1336255636779862
-0.00096175,0.24212618309923206,0.13396607448728318
-0.0009615,0.24346867523902066,0.1366901609616591
-0.0009612500000000001,0.24447554434386212,0.13430658529658018
-0.000961,0.24682490558849216,0.1363496501523621
-0.00096075,0.24682490558849216,0.13737118258025308
-0.0009605,0.24917426683312222,0.13566862853376813
-0.0009602500000000001,0.24816739772828078,0.139073736626738
-0.00096,0.25219487414764663,0.1455434420033808
-0.00095975,0.25320174325248807,0.1424788447197079
-0.0009595000000000001,0.255215481462171,0.14145731229181693
-0.00095925,0.2565579736019596,0.1421383339104109
-0.000959,0.25823608877669535,0.14384088795689584
-0.0009587500000000001,0.2602498269863782,0.14520293119408378
-0.0009585,0.2632704343009026,0.14690548524056873
-0.00095825,0.26494854947563834,0.14588395281267777
-0.000958,0.26494854947563834,0.1472459960498657
-0.00095775,0.2652841725105855,0.14860803928705368
-0.0009575,0.26696228768532126,0.14997008252424163
-0.00095725,0.26931164892995135,0.1503105933335386
-0.0009570000000000001,0.2703185180347928,0.14997008252424163
-0.00095675,0.27065414106973995,0.14997008252424163
-0.0009565,0.2740103714192115,0.1506511041428356
-0.0009562500000000001,0.27602410962889434,0.1533751906172115
-0.000956,0.27703097873373583,0.15405621223580548
-0.00095575,0.27870909390847154,0.15507774466369645
-0.0009555000000000001,0.27971596301331303,0.1560992770915874
-0.00095525,0.2810584551531016,0.15541825547299343
-0.000955,0.2827365703278374,0.15712080951947838
-0.00095475,0.2837434394326788,0.1591638743752603
-0.0009545,0.28575717764236175,0.16120693923104223
-0.00095425,0.28575717764236175,0.16120693923104223
-0.000954,0.2887777849568861,0.1615474500403392
-0.0009537500000000001,0.2877709158520447,0.16052591761244825
-0.0009535,0.29045590013162187,0.16188796084963622
