Frequency (Hz),Trace 1 (dBV),Phase (deg),Trace 2 (dBV),Phase (deg)
0,-48.92265043813428,180,-11.94768988255813,0
6.103515625,-49.27281798504725,179.1156555573748,-12.25663832199193,0.01601779437350531
12.20703125,-52.97606442247057,177.438628681933,-15.75648899758784,0.02929716105621842
18.310546875,-64.56549033918947,171.5103705314066,-26.19337600930276,179.9953460159449
24.4140625,-83.04195230162787,25.07241309836474,-48.95008597366721,178.8527545540148
30.517578125,-80.72555786622502,164.5789836516663,-78.09188928304383,75.9460067959464
36.62109375,-81.30676834813261,133.9120916719389,-67.95272044834273,38.41331871383898
42.724609375,-80.0041726664958,133.765088728938,-63.6787731699271,32.50338278726726
48.828125,-79.35422853333142,134.2842246658913,-63.2639979560883,31.87957755820458
54.931640625,-80.39861061507619,111.126344824756,-63.03446752661951,31.24999735845308
61.03515625,-83.23386212282708,93.17777631772198,-65.44789150029462,31.06266687573808
67.138671875,-84.99892739592418,60.50115284048722,-73.91384056755045,37.16379153114509
73.2421875,-78.98451445551791,40.76806824099926,-80.80636175510094,61.59067322476581
79.345703125,-77.91590918562906,42.6542354630593,-79.69545815847776,63.83551182788228
85.44921875,-81.42797230044857,54.84456558495954,-80.68855630497174,73.41974172035324
91.552734375,-87.50626179692979,70.52504180994772,-82.44926036834465,76.24400115028484
97.65625,-93.59128507118952,35.0988789504785,-88.84220989251182,58.18577498364175
103.759765625,-79.92166880755215,56.08640105139381,-88.13219596522941,97.10446552111165
109.86328125,-74.90666478511275,60.62029485601518,-78.86533597709138,84.20667031434282
115.966796875,-72.79296047137423,64.49279736927845,-76.18443650592909,82.32184232314212
122.0703125,-72.51929793366774,74.19702218091238,-75.97009899538895,81.69584943330793
128.173828125,-73.2944393156575,84.85896896739288,-76.85582701424825,79.75212101199868
134.27734375,-74.54672519189754,84.44006480770635,-79.36655827136343,68.94549453346237
140.380859375,-76.05565235446142,83.36099980533943,-83.42713779258929,52.55545511746967
146.484375,-78.36728868991356,80.03817659173838,-87.25878587701145,43.74176008328946
152.587890625,-81.11294977429861,51.13505572268596,-88.28578126121954,26.73314172897753
158.69140625,-85.68912812598296,47.28006153328313,-91.43965239574831,36.73301531446922
164.794921875,-84.9157711483596,141.5252016935844,-88.84097520912465,119.1904303796462
170.8984375,-80.71619272220254,176.9327338665211,-86.65538913373592,141.1211733741211
177.001953125,-80.03189957663288,18.68095604225835,-89.42581067938636,166.8863424805233
183.10546875,-81.21368690859356,26.15317792912162,-88.7815691374265,51.22254587851888
189.208984375,-84.12505773896464,55.37065081793053,-81.39686358502024,98.99105380671199
195.3125,-83.01786192668922,110.0274333248206,-78.24040424320106,109.4863316377227
201.416015625,-81.07608077489745,136.1715214521235,-77.42962167210102,110.2995380355992
207.51953125,-81.08413918963181,151.2732752623544,-76.4048782933326,117.0493648654914
213.623046875,-82.12564224169094,168.4318863368171,-77.34448204109533,121.5164665471883
219.7265625,-84.12406973373047,0.735158825368085,-78.72487819134498,117.5549954056014
225.830078125,-89.81613239440287,15.01260314834041,-78.77329800949602,112.927136472299
231.93359375,-94.0820343036996,14.92111061774684,-80.45592136101092,109.9131954922804
238.037109375,-89.9152027431869,171.5878895398523,-84.21614250899141,110.1283095061239
244.140625,-86.34560284415167,178.624860637065,-89.70197590416483,131.4265937566226
250.244140625,-81.15603347793369,7.1689066557567,-86.84137568943069,18.7803968633111
256.34765625,-79.09630288446581,17.21594865472579,-82.43851009928119,34.45663360461909
262.451171875,-80.1907236464713,35.40556488300735,-82.15074637583085,40.4555833918165
268.5546875,-81.89642342276187,50.23255742070549,-82.29389299354099,46.66269185735243
274.658203125,-83.9561613010617,50.24956724910587,-82.31119539844005,41.6772897017443
280.76171875,-83.12485120742602,39.81986578519554,-81.65088082186516,31.75215991692476
286.865234375,-79.47750530532885,45.82490676462893,-80.39344362423694,42.16946438012513
292.96875,-76.22266334109389,55.69988161886668,-79.38785819313075,59.76083850640277
299.072265625,-73.83486702440655,62.99346141522476,-78.56917511558404,73.97117605215433
305.17578125,-72.68659556152427,69.8143203498591,-77.54694130287996,89.46907846370202
311.279296875,-73.58439258331347,69.94533983053485,-78.39753887993243,101.505011458232
317.3828125,-75.38466192699688,64.4292717743227,-80.63995063771139,102.8882638989471
323.486328125,-76.46007449029001,63.35278567583594,-81.68722565019041,94.89409771033361
329.58984375,-78.89538475038412,69.30784000766933,-84.54935001407625,93.53250457938296
335.693359375,-81.58467204330901,107.7568459224415,-88.91538716352976,105.637802201859
341.796875,-78.86054550015498,143.5000832894399,-90.98398431480136,123.025529522886
347.900390625,-78.57421400843084,167.0230344496964,-94.95260954876645,179.9185901342387
354.00390625,-80.58993544761081,4.401391326124215,-98.3904125585198,37.6923807228574
360.107421875,-87.2265103846061,163.7823066475777,-90.50420317797179,71.14955400534018
366.2109375,-85.49491626244935,62.47942535392536,-81.72811534502071,57.413472937685
372.314453125,-77.99066328319631,50.12393496360255,-77.28516285389296,52.20962668080978
378.41796875,-75.3325743025117,60.01328713740366,-75.40059697635517,61.77240100672269
384.521484375,-75.87740760946733,73.21810691480503,-74.85827200317631,81.96665695129136
390.625,-78.37819771518014,88.27421334209214,-74.29845161598259,99.83280145654452
396.728515625,-79.92208076748159,120.1796551911086,-74.2836902949546,114.497761630675
402.83203125,-77.93606842918413,157.7789002108755,-75.14906041096407,130.0908737210082
408.935546875,-76.96494734517121,8.023380427820923,-79.9576995104904,147.5957582136664
415.0390625,-77.87826422142864,25.86121578801127,-87.15117721259246,40.01654832632279
421.142578125,-81.25290803229097,30.41838596153036,-83.72281545620595,77.64382064872085
427.24609375,-84.52205246687154,49.60973752204978,-83.84550088742802,82.56663036751971
433.349609375,-88.70817931618464,70.39973211356612,-88.13232988594541,70.96438101369957
439.453125,-94.11288474074601,22.13828989947686,-93.69898325029281,164.1351864193563
445.556640625,-85.78482712184248,42.02778214537253,-88.49833341700113,102.7748209323848
451.66015625,-83.89338847475261,43.10476061017022,-86.7995473045805,70.40186856572508
457.763671875,-79.65000960234941,40.2944943659495,-83.78366148673177,51.17093180227086
463.8671875,-76.80605941811598,42.50447536944709,-81.15584912854368,51.33259066272679
469.970703125,-75.87961456424152,57.7051266908943,-80.5979067376781,67.7168804166507
476.07421875,-73.69358071262583,70.45659966240204,-78.9928784254915,84.6256602636375
482.177734375,-71.83669317241335,74.27792991964817,-77.90626018806489,92.55908015684301
488.28125,-70.71329948918134,79.1240322016546,-77.79372004547031,99.90799495659289
494.384765625,-70.78571210359868,82.4672457815585,-79.56884297602846,101.1015628092442
500.48828125,-72.98219959339772,80.99393644420601,-85.1335801096325,84.96381843488646
506.591796875,-76.33971453442538,62.45697162964209,-85.4588771231743,10.6500947438084
512.6953125,-77.29381738814857,22.62260058736104,-79.09573342688761,163.5973112703832
518.798828125,-74.6230422214021,177.2667571211934,-75.96956196285038,164.5628202387593
524.90234375,-72.79271873457594,171.75674152428,-74.72550021170871,172.805379560988
531.005859375,-74.91036166465145,167.6240716565135,-76.22193566381934,174.2346463490303
537.109375,-85.29032685681541,136.3312895749356,-82.79419671222533,162.7541712761042
543.212890625,-84.11724570078518,12.73703440399756,-90.67087378526259,124.5551551154601
549.31640625,-81.06126236271875,147.0763105493959,-93.07090257206877,144.650776844686
555.419921875,-78.08135940716183,124.4498696570503,-96.94238086145833,136.2591846171588
561.5234375,-76.40728161232958,110.0205158945354,-104.1632828209077,124.8524777555638
567.626953125,-73.65358328442288,92.34078709078962,-89.46032310335333,70.88808314384897
573.73046875,-72.82482223931257,93.58477990114601,-90.14115978298841,95.29218408193168
579.833984375,-75.19056391757643,101.6197985338437,-82.29251878597086,78.7438980819674
585.9375,-79.55874950423744,81.03296038235082,-68.90647606776562,92.33753940562576
592.041015625,-80.8388887525537,29.72894817067093,-63.58417165964615,94.11187747693717
598.14453125,-80.32205693584068,177.425529467944,-62.65739489231813,93.74526771167096
604.248046875,-78.29761390691046,169.156812020289,-62.88709374514105,93.60955553108423
610.3515625,-78.5251823506425,174.0879582535225,-65.04606496155435,93.80038313399157
616.455078125,-83.84717519743961,179.5350983023469,-72.47514646165668,93.58765056660256
622.55859375,-83.61180647483316,152.3081424841157,-81.36611980931248,107.8472501245745
628.662109375,-76.5368037336742,129.1106562898485,-77.07393150468167,118.9332365038222
634.765625,-73.34321448187505,119.8916163409939,-74.50722082767837,117.799441972525
640.869140625,-72.57473587416902,131.891222636873,-75.51713810646645,127.9727324799666
646.97265625,-70.84552459035956,156.3284314024257,-76.24699388719438,163.1460504562203
653.076171875,-68.92624927334376,169.4459660545098,-74.44417288941939,14.32222131519625
659.1796875,-68.44356525997826,0.08685597713617992,-73.64574679721065,34.81332455854655
665.283203125,-69.09014683171659,10.74058063631945,-74.64615823329632,45.80964199223585
671.38671875,-71.0063715410507,10.24812434142282,-78.37391150278773,43.15988746696081
677.490234375,-74.35966470735023,178.9679828364434,-87.16900163190878,24.1804476458668
683.59375,-77.75903765498791,160.5951021631867,-89.46168796314696,96.66655975944904
689.697265625,-78.59502669443557,142.31416187342,-86.16288969978595,90.4343219531861
695.80078125,-78.1773593695014,139.8781479311599,-91.558430012549,117.7420802694421
701.904296875,-79.18887245177275,150.7884840995775,-94.00391089897221,48.94420800348503
708.0078125,-82.75259589736703,1.433922423614991,-85.35638385294052,100.0247246978473
