binary,metric,value,config
gcc_s,ipc,0.838734,nextline
exchange2_s,ipc,1.323177,nextline
mcf_s,ipc,0.802516,nextline
deepsjeng_s,ipc,1.394626,nextline
x264_s,ipc,1.406292,nextline
gcc_s,system.cpu.dcache.overallMshrMisses::cpu.dcache.prefetcher,529891,nextline
gcc_s,system.cpu.dcache.overallMshrMissLatency::cpu.dcache.prefetcher,8935245786,nextline
gcc_s,system.cpu.dcache.overallMshrMissRate::cpu.dcache.prefetcher,inf,nextline
gcc_s,system.cpu.dcache.overallAvgMshrMissLatency::cpu.dcache.prefetcher,16862.422245,nextline
gcc_s,system.cpu.dcache.HardPFReq.mshrMisses::cpu.dcache.prefetcher,529891,nextline
gcc_s,system.cpu.dcache.HardPFReq.mshrMissLatency::cpu.dcache.prefetcher,8935245786,nextline
gcc_s,system.cpu.dcache.HardPFReq.mshrMissRate::cpu.dcache.prefetcher,inf,nextline
gcc_s,system.cpu.dcache.HardPFReq.avgMshrMissLatency::cpu.dcache.prefetcher,16862.422245,nextline
gcc_s,system.cpu.dcache.prefetcher.demandMshrMisses,68731,nextline
gcc_s,system.cpu.dcache.prefetcher.pfIssued,2542212,nextline
gcc_s,system.cpu.dcache.prefetcher.pfUnused,40895,nextline
gcc_s,system.cpu.dcache.prefetcher.pfUseful,198375,nextline
gcc_s,system.cpu.dcache.prefetcher.pfUsefulButMiss,0,nextline
gcc_s,system.cpu.dcache.prefetcher.accuracy,0.078032,nextline
gcc_s,system.cpu.dcache.prefetcher.coverage,0.742683,nextline
gcc_s,system.cpu.dcache.prefetcher.pfHitInCache,691442,nextline
gcc_s,system.cpu.dcache.prefetcher.pfHitInMSHR,1320879,nextline
gcc_s,system.cpu.dcache.prefetcher.pfHitInWB,0,nextline
gcc_s,system.cpu.dcache.prefetcher.pfLate,2012321,nextline
gcc_s,system.cpu.dcache.prefetcher.pfIdentified,3693845,nextline
gcc_s,system.cpu.dcache.prefetcher.pfBufferHit,6647,nextline
gcc_s,system.cpu.dcache.prefetcher.pfInCache,0,nextline
gcc_s,system.cpu.dcache.prefetcher.pfRemovedDemand,200936,nextline
gcc_s,system.cpu.dcache.prefetcher.pfRemovedFull,0,nextline
gcc_s,system.cpu.dcache.prefetcher.pfSpanPage,54959,nextline
gcc_s,system.cpu.dcache.prefetcher.pfUsefulSpanPage,2913,nextline
gcc_s,system.cpu.dcache.prefetcher.power_state.pwrStateResidencyTicks::UNDEFINED,39131733743685,nextline
gcc_s,system.cpu.dcache.tags.occupancies::cpu.dcache.prefetcher,456.610247,nextline
gcc_s,system.cpu.dcache.tags.avgOccs::cpu.dcache.prefetcher,0.891817,nextline
gcc_s,system.cpu.icache.overallMshrMisses::cpu.icache.prefetcher,156,nextline
gcc_s,system.cpu.icache.overallMshrMissLatency::cpu.icache.prefetcher,6666950,nextline
gcc_s,system.cpu.icache.overallMshrMissRate::cpu.icache.prefetcher,inf,nextline
gcc_s,system.cpu.icache.overallAvgMshrMissLatency::cpu.icache.prefetcher,42736.858974,nextline
gcc_s,system.cpu.icache.HardPFReq.mshrMisses::cpu.icache.prefetcher,156,nextline
gcc_s,system.cpu.icache.HardPFReq.mshrMissLatency::cpu.icache.prefetcher,6666950,nextline
gcc_s,system.cpu.icache.HardPFReq.mshrMissRate::cpu.icache.prefetcher,inf,nextline
gcc_s,system.cpu.icache.HardPFReq.avgMshrMissLatency::cpu.icache.prefetcher,42736.858974,nextline
gcc_s,system.cpu.icache.prefetcher.demandMshrMisses,54,nextline
gcc_s,system.cpu.icache.prefetcher.pfIssued,1708980,nextline
gcc_s,system.cpu.icache.prefetcher.pfUnused,7,nextline
gcc_s,system.cpu.icache.prefetcher.pfUseful,53,nextline
gcc_s,system.cpu.icache.prefetcher.pfUsefulButMiss,0,nextline
gcc_s,system.cpu.icache.prefetcher.accuracy,0.000031,nextline
gcc_s,system.cpu.icache.prefetcher.coverage,0.495327,nextline
gcc_s,system.cpu.icache.prefetcher.pfHitInCache,1708797,nextline
gcc_s,system.cpu.icache.prefetcher.pfHitInMSHR,27,nextline
gcc_s,system.cpu.icache.prefetcher.pfHitInWB,0,nextline
gcc_s,system.cpu.icache.prefetcher.pfLate,1708824,nextline
gcc_s,system.cpu.icache.prefetcher.pfIdentified,1708981,nextline
gcc_s,system.cpu.icache.prefetcher.pfBufferHit,0,nextline
gcc_s,system.cpu.icache.prefetcher.pfInCache,0,nextline
gcc_s,system.cpu.icache.prefetcher.pfRemovedDemand,0,nextline
gcc_s,system.cpu.icache.prefetcher.pfRemovedFull,0,nextline
gcc_s,system.cpu.icache.prefetcher.pfSpanPage,1686,nextline
gcc_s,system.cpu.icache.prefetcher.pfUsefulSpanPage,1,nextline
gcc_s,system.cpu.icache.prefetcher.power_state.pwrStateResidencyTicks::UNDEFINED,39131733743685,nextline
gcc_s,system.cpu.icache.tags.occupancies::cpu.icache.prefetcher,100.318316,nextline
gcc_s,system.cpu.icache.tags.avgOccs::cpu.icache.prefetcher,0.195934,nextline
gcc_s,system.l2.demandHits::cpu.dcache.prefetcher,288062,nextline
gcc_s,system.l2.demandHits::cpu.icache.prefetcher,42,nextline
gcc_s,system.l2.overallHits::cpu.dcache.prefetcher,288062,nextline
gcc_s,system.l2.overallHits::cpu.icache.prefetcher,42,nextline
gcc_s,system.l2.demandMisses::cpu.dcache.prefetcher,241829,nextline
gcc_s,system.l2.demandMisses::cpu.icache.prefetcher,114,nextline
gcc_s,system.l2.overallMisses::cpu.dcache.prefetcher,241829,nextline
gcc_s,system.l2.overallMisses::cpu.icache.prefetcher,114,nextline
gcc_s,system.l2.demandMissLatency::cpu.dcache.prefetcher,7635871728,nextline
