d(mm),V_i,V_o,C
10, 4.115,2.207,0.0000000001281964689
9.5,4.115,2.185,0.0000000001303025822
9,  4.117,2.172,0.0000000001316635102
8.5,4.145,2.164,0.0000000001338785614
8,  4.115,2.153,0.0000000001334190742
7.5,4.115,2.134,0.0000000001353005302
7,  4.115,2.129,0.0000000001357996199
6.5,4.115,2.118,0.0000000001369035581
6,  4.115,2.092,0.0000000001395461328
5.5,4.115,2.073,0.000000000141507777
5,  4.115,2.061,0.0000000001427604337
4.5,4.115,2.020,0.0000000001471238859
4,  4.115,1.988,0.0000000001506237971
3.5,4.115,1.972,0.0000000001524063644
3,  4.115,1.919,0.0000000001584756964
2.5,4.115,1.837,0.0000000001684100232
2,  4.115,1.767,0.0000000001774802121
1.5,4.115,1.589,0.0000000002035380563
1,  4.115,1.438,0.000000000229996443
0.5,4.115,1.043,0.0000000003316331744
