#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B80BF5
#Date Time: 2026-02-04 17:37:43.719
#Start: 1 Hz
#Stop: 100000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.46618 V
#Offset: -7.13091e-05 V
#Relative: no
#Channel: Channel 2
#Range: 5.4682 V
#Offset: -6.92119e-05 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1,-0.01189277739874122,-0.01199270596508013,-3.732500876594713
1.079775162327709,-0.01089336291065968,-0.01595477075487399,-4.025764756717152
1.165914401179831,-0.01227209609317574,-0.01669146467537638,-4.336390786608042
1.258925411794166,-0.01168163044722203,-0.01832378164350049,-4.693727432365179
1.359356390878524,-0.01103148213897781,-0.02115412956580708,-5.062973855643037
1.467799267622071,-0.0123037441007098,-0.02192204642522261,-5.452914656450435
1.584893192461114,-0.01362791267586811,-0.02424609420820897,-5.881273039985786
1.711328304161781,-0.01204338567066128,-0.02824997257569148,-6.357295470406616
1.847849797422291,-0.01568774698672091,-0.02989212915391257,-6.851190675965839
1.995262314968883,-0.01469136869439894,-0.03480918834347966,-7.390899272120684
2.154434690031882,-0.01657379501997998,-0.03872922392841641,-7.96756270477519
2.326305067153629,-0.0180992121302085,-0.04504921460334844,-8.590888723340512
2.511886431509577,-0.01867746600760598,-0.0487357652351524,-9.271191284897697
2.712272579332029,-0.01879382254560776,-0.05801547161815718,-9.987291151796711
2.928644564625237,-0.01984555020994207,-0.06148370087534876,-10.78892185406585
3.16227766016838,-0.02254058638708059,-0.06856274113009775,-11.63357001863778
3.414548873833601,-0.02555641503826808,-0.07626480287983552,-12.55662873249095
3.686945064519574,-0.02931311697342821,-0.08242565898803253,-13.55551638728433
3.98107170553497,-0.02980405498301299,-0.09454086784946829,-14.63395979796339
4.298662347082281,-0.03350724587550682,-0.1067909340650931,-15.80819316720048
4.641588833612772,-0.0386953673827417,-0.1152934574021013,-17.08096596554644
5.011872336272726,-0.04289022682737868,-0.1290987312560387,-18.44381283233962
5.411695265464638,-0.04981945592977037,-0.1419468721471608,-19.93454824410844
5.843414133735175,-0.05536179242943011,-0.1587070567613802,-21.56021766138497
6.309573444801929,-0.06277393594877909,-0.177218616855141,-23.32845604937564
6.812920690579609,-0.07085748468201174,-0.2010941972790045,-25.25056231791105
7.356422544596422,-0.07977150629867306,-0.2264691557157062,-27.35592034494142
7.943282347242806,-0.09106153110596971,-0.256907700034144,-29.63066542718079
8.576958985908945,-0.1011043792472332,-0.2946028428345738,-32.14061038459786
9.261187281287937,-0.1162511111957056,-0.3428647162522653,-34.91752507698459
10,-0.1311262196406265,-0.4002564143474088,-37.93712375975795
10.79775162327709,-0.1497693331525504,-0.4754661808734502,-41.26052469490837
11.65914401179832,-0.1683757751155103,-0.573804591458941,-44.8964179396811
12.58925411794166,-0.1887774194012365,-0.7016729028663418,-48.89125847722477
13.59356390878525,-0.2086018518565576,-0.8646740034548377,-53.23572497107257
14.67799267622071,-0.231572317182927,-1.073691520221831,-57.94186018898806
15.84893192461114,-0.2485700906804778,-1.347388966383056,-63.00009738838531
17.11328304161781,-0.2679816983294792,-1.687408932480833,-68.33273357010705
18.47849797422293,-0.2802669934281091,-2.109594016309752,-73.94849697626978
19.95262314968879,-0.2902724715774908,-2.617277432117145,-79.69302273332075
21.54434690031882,-0.2936848486692028,-3.217883575667364,-85.48878140652214
23.26305067153626,-0.2939896311059826,-3.912323335737218,-91.21646045311627
25.11886431509582,-0.2864551244561964,-4.700629044358967,-96.85591547981065
27.12272579332027,-0.273685573872345,-5.563164849465388,-102.1783239717786
29.28644564625237,-0.2589980721753096,-6.49554086987798,-107.2934061288884
31.62277660168379,-0.2403368865739064,-7.491181957434873,-112.0559035361935
34.14548873833601,-0.2240717317391544,-8.529898609503356,-116.5061484706432
36.86945064519577,-0.2051005047107045,-9.620655289775677,-120.5803309453442
39.81071705534978,-0.1862077099524071,-10.74569559492407,-124.3772611546237
42.98662347082277,-0.169863802648997,-11.89255240573377,-127.7427535818072
46.41588833612772,-0.1527407989081196,-13.05922343595592,-130.9083034144597
50.11872336272725,-0.1389404124808142,-14.23662905484366,-133.8330013169895
54.11695265464638,-0.126744599560223,-15.43150153498956,-136.4683944977788
58.43414133735175,-0.1165205407769077,-16.65080606517851,-138.7404756494587
63.0957344480193,-0.1085950385520515,-17.87521895514584,-140.9910057156756
68.12920690579615,-0.1018502312167218,-19.10033368006593,-142.9609487208885
73.56422544596407,-0.09425773337911966,-20.32462062679553,-144.7583672267502
79.43282347242813,-0.08877268152731209,-21.57453985831118,-146.3586513776064
85.76958985908946,-0.08767459891350839,-22.83361658827093,-147.7492214200739
92.61187281287938,-0.08444510757276451,-24.08922719986614,-149.0722669715565
100,-0.08601913821823655,-25.35491780739377,-150.3342445529353
107.9775162327711,-0.08614045363137772,-26.59283514657676,-151.3103598904441
116.5914401179831,-0.08924034836328572,-27.8979132604023,-152.204432666091
125.8925411794166,-0.09295058734678011,-29.21898821079363,-153.0620903577378
135.9356390878527,-0.1001523829243126,-30.5065905564562,-153.7427845760692
146.7799267622071,-0.1082418338458517,-31.82661503048342,-154.5769504712085
158.4893192461113,-0.1184144031708031,-33.19345935496846,-155.9367898108832
171.1328304161781,-0.1316564893887978,-34.48901308086175,-155.4771309464887
184.7849797422291,-0.1447813474762834,-35.93872579632775,-157.1808452455647
199.5262314968879,-0.1606725065774201,-37.45658483334906,-157.4454366841808
215.4434690031884,-0.1825129383029736,-38.82646539003154,-158.6612690085976
232.6305067153629,-0.2076053300662002,-40.19128711312128,-161.1241137243215
251.1886431509579,-0.2333463540306128,-41.85268584457059,-163.3460546349261
271.227257933203,-0.2654535136956004,-43.63257100743663,-165.6841702871073
292.8644564625237,-0.3031426234428124,-45.52800462721979,-167.2300187805285
316.227766016838,-0.3440300469830018,-47.23524626996432,-174.6659627001197
341.4548873833604,-0.388856157079947,-49.42679042415417,178.5481604483909
368.6945064519574,-0.4456229710152566,-52.1843612079075,168.0871190630658
398.1071705534973,-0.5051966759118484,-52.56698832325385,155.1484574604311
429.8662347082272,-0.5740164625238142,-54.82138596440117,131.4934643471064
464.1588833612777,-0.6539748897518656,-54.29641052328665,116.5402657353631
501.1872336272725,-0.74152317879637,-52.54215198049076,88.30819551449736
541.1695265464638,-0.8449836941347465,-51.88672345781576,86.03714605719381
584.3414133735175,-0.9590705119228459,-49.62521416402243,72.44935212450105
630.9573444801937,-1.087518959473643,-49.11138272970341,69.42618262901095
681.2920690579608,-1.234232175894951,-46.93033916747402,61.08608524008588
735.6422544596413,-1.389973001792639,-46.42088503440924,61.06599289699645
794.3282347242814,-1.558332048197238,-45.89654232476086,62.05239135223368
857.6958985908946,-1.739966533223924,-44.70007108265995,55.98418378934651
926.1187281287938,-1.928260289216797,-44.12175115198518,54.62197413009058
1000,-2.130841842575974,-43.82422539474103,50.37594572162531
1079.77516232771,-2.329911941810759,-42.51346653535859,48.99267698583334
1165.914401179831,-2.54114757401983,-42.25220693502031,49.19981350637465
1258.925411794168,-2.748713031392331,-41.45781738822792,44.6705656364542
1359.356390878526,-2.952878352573976,-41.29625274128174,40.70867608974473
1467.799267622069,-3.168355677501645,-41.0979736598413,41.17663491331879
1584.893192461114,-3.370374976299217,-40.97046906388598,38.57487778957439
1711.328304161779,-3.571749011036671,-40.48460701916913,37.57722645125683
1847.849797422291,-3.772904272005784,-40.45868384353891,34.94742914760106
1995.262314968881,-3.969041858084337,-40.44438348138461,35.85868233305199
2154.434690031882,-4.153601015207364,-40.77930451121909,33.81859039775031
2326.305067153626,-4.340211101649253,-40.00795542339308,37.7625204400789
2511.886431509582,-4.511483228505506,-40.24971175203859,35.90829525628226
2712.272579332027,-4.669341125429585,-41.32410256378628,36.01908769688531
2928.644564625237,-4.82080181239406,-40.42018014745229,41.53642023997924
3162.277660168378,-4.955307634975955,-40.28954559180007,38.06807224882535
3414.5488738336,-5.088319095385812,-39.62575202894456,46.94541942163883
3686.945064519577,-5.207540755317063,-39.24615123266539,48.20940013950656
3981.071705534971,-5.317967092979224,-38.94579984469481,52.21073261121015
4298.662347082276,-5.425664368250233,-37.87716847735464,54.36571241881263
4641.588833612777,-5.525285362387321,-37.8943541998525,54.56001178276536
5011.872336272722,-5.615414149750499,-37.17960762489162,52.05017937433966
5411.695265464637,-5.697582503626105,-36.49782046335363,55.31206603458178
5843.414133735176,-5.766591729882233,-35.88712578019481,54.00213310280414
6309.573444801933,-5.841536404631853,-35.70625922427122,50.6835502189864
6812.920690579615,-5.908021555552441,-35.55288121264745,53.30252798359052
7356.422544596414,-5.968218861097649,-34.81090114270698,50.84806605833504
7943.282347242818,-6.021760691509882,-34.33955600988865,53.22966682292124
8576.958985908937,-6.074219708981713,-33.4881270795622,51.44115418912833
9261.187281287937,-6.122278872754077,-33.88059600579277,50.68121570019866
10000.00000000001,-6.171721241729724,-33.64739056529525,51.20008609557726
10797.75162327709,-6.206124684274508,-33.120548273879,49.91742009138732
11659.14401179832,-6.253387386626979,-32.82363554311051,56.02034546567972
12589.25411794166,-6.305917352933015,-32.90233101573274,54.77783236775884
13593.56390878526,-6.318313336895104,-32.21586737661707,54.57268122251092
14677.9926762207,-6.351909616259084,-32.10304179978085,53.16334166940081
15848.93192461113,-6.385152615152364,-31.99162174564478,56.5009829451277
17113.28304161781,-6.42476990113949,-31.13766008496263,56.86557790548967
18478.49797422292,-6.451219526108826,-30.7595583155453,57.82695169486456
19952.62314968879,-6.48064228732334,-30.83179243576829,59.73053261054635
21544.34690031884,-6.515989269296949,-29.89622241225318,62.21053086584398
23263.05067153625,-6.563491637866044,-29.33985395588657,63.74856949997138
25118.8643150958,-6.605873985254122,-29.07985806036983,64.78149324442435
27122.7257933203,-6.629464376678674,-28.69502729380946,67.18223702455498
29286.44564625236,-6.668864432075779,-27.86921183908494,67.08155799491644
31622.7766016838,-6.714100280888211,-27.87048967195281,69.23479806599782
34145.488738336,-6.769821157644424,-27.05077129624364,68.55173069161624
36869.45064519575,-6.799125506593602,-26.50466263231004,69.6238103489534
39810.71705534974,-6.84661513401654,-25.8611283291347,72.16402008227163
42986.62347082276,-6.927136449562195,-25.38472224334126,71.6190670025813
46415.8883361278,-6.974571654669827,-24.34806205445229,75.02160826398449
50118.7233627272,-7.031718880337651,-23.67130974843588,74.01390385955938
54116.95265464637,-7.107195471539383,-23.408226883329,75.59499379567792
58434.14133735179,-7.192674714524521,-22.66426004607144,75.69022420815587
63095.73444801931,-7.282547426763114,-22.44571573939997,78.56462197589376
68129.20690579613,-7.353324145739096,-21.56806115359528,78.12443055626667
73564.22544596417,-7.456947106090955,-20.91712939986177,79.30309832641457
79432.82347242814,-7.600735584141546,-20.1198263785658,80.82996761786197
85769.58985908944,-7.729090849969435,-19.66536992774455,79.74346275145518
92611.8728128793,-7.937060711564913,-18.75976778440283,78.89944075106217
100000,-8.13563214369411,-18.11686974909533,81.17395995871838
